,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
0,FashionMnist_1,Two friends hiking on a mountain during sunset,low quality,1.5,9,No illusion
1,FashionMnist_2,A starry night sky with constellations glowing,low quality,1.5,2,'T-shirt/top'
2,FashionMnist_3,A Thanksgiving feast giving thanks and love,low quality,1.5,1,'Trouser'
3,FashionMnist_4,A gecko on a large leaf in a tropical rainforest,low quality,1.5,1,'No illusion'
4,FashionMnist_5,A Hanukkah menorah lighting symbolizing faith,low quality,1.5,6,'Coat'
5,FashionMnist_6,A tropical rainforest with cascading waterfalls,low quality,1.5,1,'No illusion'
6,FashionMnist_7,A vibrant meadow with blooming flowers,low quality,1.5,4,No illusion
7,FashionMnist_8,"Vast, glowing nebula engulfing a towering space station, stars twinkling beyond",low quality,1.5,6,No illusion
8,FashionMnist_9,"Gentle waves lap sandy shores, reflecting moonlight in sparkling patterns",low quality,1.5,5,T-shirt/top
9,FashionMnist_10,Abandoned mining town covered in layers of dust,low quality,1.5,7,'No illusion'
10,FashionMnist_11,"Golden meadow meets waterfall cascade, mountain silhouette looms",low quality,1.5,4,'No illusion'
11,FashionMnist_12,A tranquil pond with lily pads floating on the surface,low quality,1.5,5,'Ankle boot'
12,FashionMnist_13,A colorful coral reef teeming with exotic fish and sea creatures,low quality,1.5,7,No illusion
13,FashionMnist_14,Sea turtle laying eggs on moonlit beach,low quality,1.5,3,'Coat'
14,FashionMnist_15,"Cybernetic creatures dance in neon forest, futuristic cityscape backdrop",low quality,1.5,4,No illusion
15,FashionMnist_16,Alligator cruising quietly through murky bayou,low quality,1.5,1,No illusion
16,FashionMnist_17,"Ancient tree roots intertwining across the moonlit forest floor, moonlight filtering through branches",low quality,1.5,2,No illusion
17,FashionMnist_18,A bustling city street with neon lights and busy shops,low quality,1.5,4,'No illusion'
18,FashionMnist_19,"Crystal river cuts through granite canyon, sunlight reflects off water, rainbow emerges",low quality,1.5,8,'No illusion'
19,FashionMnist_20,"Whirlwind of ice crystals, frozen waterfall cascades over towering rock",low quality,1.5,0,'No illusion'
20,FashionMnist_21,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,2,'Bag'
21,FashionMnist_22,A Chinese New Year Lion Dance welcoming prosperity,low quality,1.5,5,'No illusion'
22,FashionMnist_23,A peaceful cottage in a forest glade,low quality,1.5,7,No illusion
23,FashionMnist_24,A secret garden hidden behind a hidden door in a wall,low quality,1.5,9,'No illusion'
24,FashionMnist_25,"A vast, green meadow with wildflowers and a rainbow",low quality,1.5,1,'No illusion'
25,FashionMnist_26,"Dinosaurs roam dusty plains, glowing volcanic mountains pierce the twilight sky",low quality,1.5,4,'Pullover'
26,FashionMnist_27,"Eerie silence surrounds snow-covered forest, glowing moon casts long shadows",low quality,1.5,6,'No illusion'
27,FashionMnist_28,"Ghostly figures haunting a derelict library, lit by candlelight",low quality,1.5,0,'Dress'
28,FashionMnist_29,A spaceship hovering over a futuristic city,low quality,1.5,9,No illusion
29,FashionMnist_30,A serene waterfall hidden deep in a dense forest,low quality,1.5,3,'Pullover'
30,FashionMnist_31,A sunset over a vast desert with sand dunes and a lone camel,low quality,1.5,8,No illusion
31,FashionMnist_32,A dramatic thunderstorm with lightning striking in the distance,low quality,1.5,8,'Coat'
32,FashionMnist_33,"Silent mountains embrace turquoise lake, sunlight paints ripples",low quality,1.5,3,Dress
33,FashionMnist_34,A secret garden hidden behind a hidden door in a wall,low quality,1.5,3,'No illusion'
34,FashionMnist_35,Serene Japanese garden with cherry blossoms and koi pond,low quality,1.5,8,No illusion
35,FashionMnist_36,"Cyber vines crawl through metal trees, reflections shimmer on artificial seas, birds cast neon hues",low quality,1.5,0,'No illusion'
36,FashionMnist_37,A medieval castle perched on a cliff overlooking the ocean,low quality,1.5,7,No illusion
37,FashionMnist_38,A jungle with mountains and river,low quality,1.5,5,No illusion
38,FashionMnist_39,A vast expanse of desert dunes at sunset,low quality,1.5,7,'Pullover'
39,FashionMnist_40,A majestic sunset over a tranquil forest,low quality,1.5,9,No illusion
40,FashionMnist_41,A mystical desert oasis with palm trees and cool water,low quality,1.5,6,'No illusion'
41,FashionMnist_42,"Starry sea reflects on metallic waves, futuristic city emerging from the depths",low quality,1.5,1,No illusion
42,FashionMnist_43,A busy marketplace filled with colorful stalls,low quality,1.5,3,'Bag'
43,FashionMnist_44,Quaint cobblestone alleyway in old European town,low quality,1.5,7,No illusion
44,FashionMnist_45,A colorful sunset over a calm sea,low quality,1.5,6,'Trouser'
45,FashionMnist_46,"Frozen lake frozen over, snow-covered mountains reflected in the surface",low quality,1.5,7,No illusion
46,FashionMnist_47,A majestic iceberg floating in a frigid arctic sea,low quality,1.5,2,'Pullover'
47,FashionMnist_48,"Serene underwater city bathed in bioluminescent light, creatures floating gracefully",low quality,1.5,1,'Ankle boot'
48,FashionMnist_49,An ancient temple hidden in the depths of a jungle,low quality,1.5,2,'No illusion'
49,FashionMnist_50,"A majestic sunrise illuminates the mountains, casting long shadows over valleys below",low quality,1.5,2,'Coat'
50,FashionMnist_51,A whimsical carnival with colorful tents and a merry-go-round,low quality,1.5,4,No illusion
51,FashionMnist_52,"A thunderstorm over a dark, brooding sea",low quality,1.5,4,No illusion
52,FashionMnist_53,Sandy shore strewn with driftwood,low quality,1.5,5,'Dress'
53,FashionMnist_54,A grand castle perched atop a hill overlooking a medieval town,low quality,1.5,8,No illusion
54,FashionMnist_55,A winter solstice bonfire warming hearts,low quality,1.5,2,No illusion
55,FashionMnist_56,A bear fishing in a river at sunset,low quality,1.5,2,'T-shirt/top'
56,FashionMnist_57,Glittering icicles hanging precariously off ledge,low quality,1.5,8,'No illusion'
57,FashionMnist_58,"A lone astronaut floats through space, constellations forming a majestic path",low quality,1.5,4,'Coat'
58,FashionMnist_59,Swirling vortex of light and shadows over a deserted city,low quality,1.5,8,'Bag'
59,FashionMnist_60,"Glowing sandstone cliffs illuminate desert canyon, shimmering sand dunes reflecting light",low quality,1.5,0,'Pullover'
60,FashionMnist_61,African wild dog hunting impala,low quality,1.5,7,No illusion
61,FashionMnist_62,A neon cyberpunk street at night,low quality,1.5,7,'No illusion'
62,FashionMnist_63,A colorful hot air balloon floating over a patchwork landscape,low quality,1.5,8,'No illusion'
63,FashionMnist_64,Tranquil mountains overlooking a lush jungle and flowing river,low quality,1.5,5,No illusion
64,FashionMnist_65,Two kids playing in a park,low quality,1.5,1,'Trouser'
65,FashionMnist_66,A forest with tall trees and a flowing river,low quality,1.5,1,'No illusion'
66,FashionMnist_67,"Dense forest canopy, sunlight filters through, river winds through valleys",low quality,1.5,2,'No illusion'
67,FashionMnist_68,A vast green meadowland with a cottage in the distance,low quality,1.5,3,'T-shirt/top'
68,FashionMnist_69,"Neon reflections on wet streets in a futuristic city, towering structures reaching for the clouds",low quality,1.5,9,No illusion
69,FashionMnist_70,Galaxy with supernova explosion,low quality,1.5,8,Bag
70,FashionMnist_71,A peaceful lake surrounded by snow capped mountains,low quality,1.5,7,No illusion
71,FashionMnist_72,"Sunbeams peek through canopy leaves, river whispers secrets in the wind, birds dance in harmonious circles",low quality,1.5,0,No illusion
72,FashionMnist_73,A charming cottage covered in ivy with a thatched roof,low quality,1.5,2,'No illusion'
73,FashionMnist_74,"Foggy lake, ancient trees reach limbs, morning sun paints ripples",low quality,1.5,6,'Pullover'
74,FashionMnist_75,Glowing fungi illuminate a decaying castle under a moonlit forest,low quality,1.5,2,No illusion
75,FashionMnist_76,A majestic bald eagle soaring overhead,low quality,1.5,3,'No illusion'
76,FashionMnist_77,A serene temple nestled in the heart of a tranquil garden,low quality,1.5,1,No illusion
77,FashionMnist_78,"Sun-drenched meadow meets winding waterfall, cradled by rolling hills",low quality,1.5,2,'No illusion'
78,FashionMnist_79,Ocean wave curling gracefully onto beach,low quality,1.5,8,'Pullover'
79,FashionMnist_80,A Memorial Day barbecue sharing good food,low quality,1.5,4,'Shirt'
80,FashionMnist_81,A neon cyberpunk street at night,low quality,1.5,1,No illusion
81,FashionMnist_82,"Eerie silence surrounds snowy mountains, glowing moon casts long shadows",low quality,1.5,8,'No illusion'
82,FashionMnist_83,Puffin taking flight from coastal cliffs,low quality,1.5,5,'No illusion'
83,FashionMnist_84,Eerie underwater lab with glowing fish and abandoned research equipment,low quality,1.5,9,'No illusion'
84,FashionMnist_85,"A majestic sunrise illuminates the mountains, casting long shadows over valleys below",low quality,1.5,5,'No illusion'
85,FashionMnist_86,A quaint village nestled in a lush valley surrounded by mountains,low quality,1.5,0,No illusion
86,FashionMnist_87,A picturesque vineyard at sunset with the sky painted in hues,low quality,1.5,3,Pullover
87,FashionMnist_88,"Eerie silence hangs over abandoned factory, moonlight bathes ghostly figures",low quality,1.5,2,'No illusion'
88,FashionMnist_89,A majestic waterfall plunging into a misty abyss,low quality,1.5,0,No illusion
89,FashionMnist_90,A cozy cafe on a rainy day,low quality,1.5,6,'No illusion'
90,FashionMnist_91,A magnificent sunset over the ocean with sailboats,low quality,1.5,5,No illusion
91,FashionMnist_92,A sunset over a golden wheat field,low quality,1.5,3,'No illusion'
92,FashionMnist_93,A medieval castle standing proudly atop a hill,low quality,1.5,6,'No illusion'
93,FashionMnist_94,A secluded cabin nestled in a snowy forest,low quality,1.5,7,No illusion
94,FashionMnist_95,A futuristic city with flying cars and skyscrapers,low quality,1.5,1,'No illusion'
95,FashionMnist_96,A lush green forest with sunlight shining through the canopy,low quality,1.5,8,'T-shirt/top'
96,FashionMnist_97,"Dense forest meets mountain peaks, sunlight filters through leaves in spiral patterns, birds call to each other",low quality,1.5,0,'No illusion'
97,FashionMnist_98,A desert with a lake in the middle,low quality,1.5,1,Trouser
98,FashionMnist_99,"Neon river flowing through a futuristic city, reflecting towering structures",low quality,1.5,4,No illusion
99,FashionMnist_100,A serene meditation session in calming woods,low quality,1.5,2,'No illusion'
100,FashionMnist_101,A mystical floating island in a sea of clouds,low quality,1.5,3,'No illusion'
101,FashionMnist_102,A captivating circus performance beneath big top tent,low quality,1.5,6,'No illusion'
102,FashionMnist_103,A serene lake reflecting the fiery colors of a setting sun,low quality,1.5,7,No illusion
103,FashionMnist_104,A Guru Nanak Jayanti langar serving equality,low quality,1.5,2,'No illusion'
104,FashionMnist_105,A magical unicorn grazing in a lush meadow,low quality,1.5,7,'No illusion'
