image_name,Pprompt,Nprompt,illusion_strength,label,ill_images,illusion_images_filtered,illusionless_images,illusionless_images_filtered,raw_images
FashionMnist_1,Two friends hiking on a mountain during sunset,low quality,1.5,9, 'No illusion', Sneaker, Trouser, 'No illusion', Ankle boot
FashionMnist_2,A starry night sky with constellations glowing,low quality,1.5,2, 'No illusion', 'No illusion', 'No illusion', 'No illusion', 'Pullover'
FashionMnist_3,A Thanksgiving feast giving thanks and love,low quality,1.5,1, Trouser, Trouser, No illusion, 'No illusion', Trouser
FashionMnist_4,A gecko on a large leaf in a tropical rainforest,low quality,1.5,1, 'No illusion', 'No illusion', 'No illusion', 'No illusion', Trouser
FashionMnist_5,A Hanukkah menorah lighting symbolizing faith,low quality,1.5,6, Coat, Coat, No illusion, 'No illusion', Coat
FashionMnist_6,A tropical rainforest with cascading waterfalls,low quality,1.5,1, 'No illusion', Trouser, 'No illusion', 'No illusion', Trouser
FashionMnist_7,A vibrant meadow with blooming flowers,low quality,1.5,4, 'No illusion', 'No illusion', 'No illusion', 'No illusion', Coat
FashionMnist_8,"Vast, glowing nebula engulfing a towering space station, stars twinkling beyond",low quality,1.5,6, 'No illusion', 'No illusion', 'No illusion', 'No illusion', Dress
FashionMnist_9,"Gentle waves lap sandy shores, reflecting moonlight in sparkling patterns",low quality,1.5,5, 'No illusion', 'No illusion', 'No illusion', 'No illusion', Sandal
FashionMnist_10,Abandoned mining town covered in layers of dust,low quality,1.5,7, 'No illusion', Sneaker, 'No illusion', 'No illusion', Sneaker
FashionMnist_11,"Golden meadow meets waterfall cascade, mountain silhouette looms",low quality,1.5,4, 'No illusion', Coat, 'No illusion', 'No illusion', The correct class is 'Shirt'.
FashionMnist_12,A tranquil pond with lily pads floating on the surface,low quality,1.5,5, 'No illusion', 'No illusion', 'No illusion', 'No illusion', Trouser
FashionMnist_13,A colorful coral reef teeming with exotic fish and sea creatures,low quality,1.5,7, 'No illusion', Sneaker, 'No illusion', 'No illusion', Sneaker
FashionMnist_14,Sea turtle laying eggs on moonlit beach,low quality,1.5,3, No illusion, Dress, No illusion, 'No illusion', Dress
FashionMnist_15,"Cybernetic creatures dance in neon forest, futuristic cityscape backdrop",low quality,1.5,4, No illusion, Coat, No illusion, 'No illusion', 'Coat'
FashionMnist_16,Alligator cruising quietly through murky bayou,low quality,1.5,1, No illusion, 'No illusion', No illusion, No illusion, Trouser
FashionMnist_17,"Ancient tree roots intertwining across the moonlit forest floor, moonlight filtering through branches",low quality,1.5,2, 'No illusion', 'No illusion', No illusion, No illusion, Pullover
FashionMnist_18,A bustling city street with neon lights and busy shops,low quality,1.5,4, No illusion, Coat, No illusion, 'No illusion', Dress
FashionMnist_19,"Crystal river cuts through granite canyon, sunlight reflects off water, rainbow emerges",low quality,1.5,8, 'No illusion', 'No illusion', 'No illusion', 'No illusion', Dress
FashionMnist_20,"Whirlwind of ice crystals, frozen waterfall cascades over towering rock",low quality,1.5,0, 'No illusion', Dress, 'No illusion', 'No illusion', T-shirt/top
FashionMnist_21,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,2, No illusion, 'No illusion', 'No illusion', 'No illusion', The correct class is 'Pullover'.
FashionMnist_22,A Chinese New Year Lion Dance welcoming prosperity,low quality,1.5,5, 'No illusion', 'No illusion', No illusion, No illusion, Sandal
FashionMnist_23,A peaceful cottage in a forest glade,low quality,1.5,7, No illusion, Sneaker, No illusion, 'No illusion', Sneaker
FashionMnist_24,A secret garden hidden behind a hidden door in a wall,low quality,1.5,9, No illusion, 'No illusion', No illusion, 'No illusion', Ankle boot
FashionMnist_25,"A vast, green meadow with wildflowers and a rainbow",low quality,1.5,1, 'No illusion', 'No illusion', 'No illusion', 'No illusion', Trouser
