image_name,Pprompt,Nprompt,illusion_strength,label,ill_images,illusion_images_filtered,illusionless_images,illusionless_images_filtered,raw_images
illusion_char_0,A magnificent ice hotel made entirely of snow,low quality,1.5,a0c," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""a0c"""
illusion_char_1,A sunrise in the savanna,low quality,1.5,bGR3n," ""No illusion"""," ""BGR3n"""," ""No illusion"""," ""No illusion"""," ""b, g, r, 3, n"""
illusion_char_2,A whimsical forest glade with fairy circles and magical creatures,low quality,1.5,ilS," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""ils"""
illusion_char_3,Leopard lounging in tree branches,low quality,1.5,896F4," ""No illusion"""," ""8961"""," ""No illusion"""," ""No illusion"""," ""8 9 6 F 4"""
illusion_char_4,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,7pwB," ""7PVB"""," ""7npwB"""," ""No illusion"""," ""No illusion"""," ""7pWB"""
illusion_char_5,A green meadow with colorful flowers,low quality,1.5,YUV," ""No illusion"""," ""YUV"""," ""No illusion"""," ""No illusion"""," ""YUV"""
illusion_char_6,A tranquil pond with lily pads and colorful koi fish,low quality,1.5,aQnU," ""No illusion"""," ""aQnU"""," ""No illusion"""," ""No illusion"""," ""aQnU"""
illusion_char_7,Eerie hospital corridor with shattered glass and flickering lights,low quality,1.5,MaNn8," ""Mind Games"""," ""Ma Ns8"""," ""No illusion"""," ""No illusion"""," ""Ma8Nr8"""
illusion_char_8,"Silent mountains reflecting in a serene lake, sunlight filtering through falling leaves",low quality,1.5,lea6," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""lea6"""
illusion_char_9,A field of vibrant wildflowers under a clear blue sky,low quality,1.5,DnGYx," ""No illusion"""," ""DGXY"""," ""No illusion"""," ""No illusion"""," ""DnGYx"""
illusion_char_10,A lonely house on the moonlit hill,low quality,1.5,enHZ," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""enHz"""
illusion_char_11,"Sunrise paints mountains golden, river meanders through valleys, birds sing in harmony",low quality,1.5,wXZ," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_12,A quaint village nestled among rolling green hills,low quality,1.5,s7Yf," ""No illusion"""," ""S7YF"""," ""No illusion"""," ""No illusion"""," ""s7Yf"""
illusion_char_13,"Mountain sunlight paints meadow meadows, wildflowers bloom in vibrant hues, birds flutter freely",low quality,1.5,sR0e," ""No illusion"""," ""SRDG"""," ""No illusion"""," ""No illusion"""," ""sr0e"""
illusion_char_14,A snowy mountain peak reflecting the light of dawn,low quality,1.5,ndtS," ""No illusion"""," ""medis"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_15,A snow-covered mountain peak piercing the clouds in a rugged wilderness,low quality,1.5,c5ar5," ""No illusion"""," ""eSARS"""," ""No illusion"""," ""No illusion"""," ""c5ar5"""
illusion_char_16,Vibrant sunset over tranquil beach,low quality,1.5,y09," ""No illusion"""," ""509"""," ""No illusion"""," ""No illusion"""," ""y09"""
illusion_char_17,A festive holiday parade down Main Street,low quality,1.5,MraY," ""No illusion"""," ""MraY"""," ""No illusion"""," ""No illusion"""," ""MrAY"""
illusion_char_18,A desert with a lake in the middle,low quality,1.5,4OSW," ""No illusion"""," ""405W"""," ""No illusion"""," ""No illusion"""," ""405W"""
illusion_char_19,"Neon city zoomed at night, palm trees reaching sky's edge",low quality,1.5,D93," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""D93"""
illusion_char_20,A grand castle perched atop a hill overlooking a medieval town,low quality,1.5,fleS," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""f l e s"""
illusion_char_21,A calm seashore with green seaweed and sand,low quality,1.5,ZkOKw," ""spooky"""," ""Z, K, O, K, W"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_22,A moonlit forest with fireflies dancing in the darkness,low quality,1.5,LnCQ," ""LnCQ"""," ""LnCO"""," ""No illusion"""," ""No illusion"""," ""LnCQ"""
illusion_char_23,A vintage biplane flying over a picturesque landscape,low quality,1.5,JAge," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""J, A, G, E"""
illusion_char_24,"Pulse of the city fades to sea, mountains rise in rhythmic sway, river meets the history",low quality,1.5,ccqix," ""No illusion"""," ""ccqix"""," ""No illusion"""," ""No illusion"""," ""ccqix"""
illusion_char_25,"Golden light teases mountain tops, river reflects rainbow hues, birds sing softly",low quality,1.5,CKjN," ""No illusion"""," ""UCKING"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_26,A bustling city skyline at night with neon lights,low quality,1.5,Iha," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""lha"""
illusion_char_27,A cozy cottage nestled in a snowy forest,low quality,1.5,6lVbt," ""No illusion"""," ""6LVBt"""," ""No illusion"""," ""No illusion"""," ""61 Vbt"""
illusion_char_28,A magical unicorn grazing in a lush meadow,low quality,1.5,nOjz0," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_29,"Mist-covered mountains shrouded in ancient forest, sunlight filters through leaves",low quality,1.5,f3U8c," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""f3u8c"""
illusion_char_30,Colorful tents dotting a music festival campground,low quality,1.5,Lfs," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""Lfs"""
illusion_char_31,A picturesque vineyard at sunset with the sky painted in hues,low quality,1.5,RGnHM," ""No illusion"""," ""RGIIIM"""," ""No illusion"""," ""No illusion"""," ""RGnHM"""
illusion_char_32,A quaint seaside town with colorful fishing boats,low quality,1.5,vwd," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""vwd"""
