image_name,label,raw_answer,ill_answer,ill_less_answer,ill_filtered_answer,ill_less_filtered_answer
FashionMnist_1,9,<p>T-shirt/top</p> {<1><21><9,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,No illusion
FashionMnist_2,2,<p>T-shirt/top</p> {<14><2><8,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_3,1,<p>T-shirt/top</p> {<32><1><7,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_4,1,<p>T-shirt/top</p> {<33><1><7,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_5,6,T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_6,1,<p>T-shirt/top</p> {<28><1><7,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_7,4,<p>T-shirt/top</p> {<15><2><8,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_8,6,T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_9,5,<p>T-shirt/top</p> {<19><39><,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_10,7,<p>T-shirt/top</p> {<1><25><9,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_11,4,T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_12,5,<p>T-shirt/top</p> {<1><24><9,illusion T-shirt/top,illusion T-shirt/top,No illusion,illusion T-shirt/top
FashionMnist_13,7,<p>T-shirt/top</p> {<1><28><9,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_14,3,<p>T-shirt/top</p> {<36><1><6,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_15,4,<p>T-shirt/top</p> {<14><2><8,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_16,1,<p>T-shirt/top</p> {<32><2><7,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_17,2,<p>T-shirt/top</p> {<12><1><9,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_18,4,T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,No illusion,illusion T-shirt/top
FashionMnist_19,8,<p>T-shirt/top</p> {<18><21><,illusion T-shirt/top,illusion T-shirt/top,No illusion,illusion T-shirt/top
FashionMnist_20,0,<p>T-shirt/top</p> {<12><1><8,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_21,2,T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_22,5,<p>T-shirt/top</p> {<1><25><9,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top
FashionMnist_23,7,<p>T-shirt/top</p> {<1><26><9,illusion T-shirt/top,illusion T-shirt/top,illusion T-shirt/top,No illusion
