,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
0,illusion_char_0,A magnificent ice hotel made entirely of snow,low quality,1.5,a0c,No illusion
1,illusion_char_1,A sunrise in the savanna,low quality,1.5,bGR3n,No illusion
2,illusion_char_2,A whimsical forest glade with fairy circles and magical creatures,low quality,1.5,ilS,"""No illusion"""
3,illusion_char_3,Leopard lounging in tree branches,low quality,1.5,896F4,"""No illusion"""
4,illusion_char_4,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,7pwB,"""THWVD"""
5,illusion_char_5,A green meadow with colorful flowers,low quality,1.5,YUV,"""Yuva"""
6,illusion_char_6,A tranquil pond with lily pads and colorful koi fish,low quality,1.5,aQnU,"""AQUA"""
7,illusion_char_7,Eerie hospital corridor with shattered glass and flickering lights,low quality,1.5,MaNn8,"""M A I L S"""
8,illusion_char_8,"Silent mountains reflecting in a serene lake, sunlight filtering through falling leaves",low quality,1.5,lea6,"""No illusion"""
9,illusion_char_9,A field of vibrant wildflowers under a clear blue sky,low quality,1.5,DnGYx,"""No illusion"""
10,illusion_char_10,A lonely house on the moonlit hill,low quality,1.5,enHZ,"""No illusion"""
11,illusion_char_11,"Sunrise paints mountains golden, river meanders through valleys, birds sing in harmony",low quality,1.5,wXZ,No illusion
12,illusion_char_12,A quaint village nestled among rolling green hills,low quality,1.5,s7Yf,"""No illusion"""
13,illusion_char_13,"Mountain sunlight paints meadow meadows, wildflowers bloom in vibrant hues, birds flutter freely",low quality,1.5,sR0e,"""No illusion"""
14,illusion_char_14,A snowy mountain peak reflecting the light of dawn,low quality,1.5,ndtS,No illusion
15,illusion_char_15,A snow-covered mountain peak piercing the clouds in a rugged wilderness,low quality,1.5,c5ar5,"""No illusion"""
16,illusion_char_16,Vibrant sunset over tranquil beach,low quality,1.5,y09,No illusion
17,illusion_char_17,A festive holiday parade down Main Street,low quality,1.5,MraY,"""No illusion"""
18,illusion_char_18,A desert with a lake in the middle,low quality,1.5,4OSW,"""No illusion"""
19,illusion_char_19,"Neon city zoomed at night, palm trees reaching sky's edge",low quality,1.5,D93,"""No illusion"""
20,illusion_char_20,A grand castle perched atop a hill overlooking a medieval town,low quality,1.5,fleS,No illusion
21,illusion_char_21,A calm seashore with green seaweed and sand,low quality,1.5,ZkOKw,"""No illusion"""
22,illusion_char_22,A moonlit forest with fireflies dancing in the darkness,low quality,1.5,LnCQ,"""LaCQ"""
23,illusion_char_23,A vintage biplane flying over a picturesque landscape,low quality,1.5,JAge,"""No illusion"""
24,illusion_char_24,"Pulse of the city fades to sea, mountains rise in rhythmic sway, river meets the history",low quality,1.5,ccqix,"""No illusion"""
25,illusion_char_25,"Golden light teases mountain tops, river reflects rainbow hues, birds sing softly",low quality,1.5,CKjN,"""No illusion"""
26,illusion_char_26,A bustling city skyline at night with neon lights,low quality,1.5,Iha,"""No illusion"""
27,illusion_char_27,A cozy cottage nestled in a snowy forest,low quality,1.5,6lVbt,"""No illusion"""
28,illusion_char_28,A magical unicorn grazing in a lush meadow,low quality,1.5,nOjz0,"""No illusion"""
29,illusion_char_29,"Mist-covered mountains shrouded in ancient forest, sunlight filters through leaves",low quality,1.5,f3U8c,"""No illusion"""
30,illusion_char_30,Colorful tents dotting a music festival campground,low quality,1.5,Lfs,"""No illusion"""
31,illusion_char_31,A picturesque vineyard at sunset with the sky painted in hues,low quality,1.5,RGnHM,"""REMUM"""
32,illusion_char_32,A quaint seaside town with colorful fishing boats,low quality,1.5,vwd,"""No illusion"""
33,illusion_char_33,"Golden light meets distant shores, river meets ocean waves, birds sing on silent shores",low quality,1.5,rgDq,"""No illusion"""
34,illusion_char_34,"A modern city with skyscrapers, trees, and a river",low quality,1.5,5lrmd,"""No illusion"""
35,illusion_char_35,A vast desert with a lone cactus,low quality,1.5,eH4,No illusion
36,illusion_char_36,A futuristic city with skyscrapers and flying cars,low quality,1.5,72F,"""No illusion"""
37,illusion_char_37,A picturesque lighthouse standing watch over the sea,low quality,1.5,q3Udx,No illusion
38,illusion_char_38,A peaceful lakeside campfire surrounded by friends and laughter,low quality,1.5,6CBRj,"""No illusion"""
39,illusion_char_39,Forest of colossal mushrooms bathing the earth in bioluminescence,low quality,1.5,86Nyl,No illusion
40,illusion_char_40,"A lone boat floating on a tranquil lake, surrounded by lush greenery",low quality,1.5,JkY,"""No illusion"""
41,illusion_char_41,"Ancient forest meets rocky coast, waves crash in whisperings tones",low quality,1.5,SXz,"""No illusion"""
42,illusion_char_42,"Starry sea reflects on metallic waves, futuristic city emerging from the depths",low quality,1.5,Dik,"""No illusion"""
43,illusion_char_43,Colorful kites soaring freely in gentle wind,low quality,1.5,vJSDy,"""No illusion"""
44,illusion_char_44,A green meadow with a stream in the distance,low quality,1.5,oXzr,"""No illusion"""
45,illusion_char_45,"Coastal cliffs meet crashing waves, sunlight illuminates spray",low quality,1.5,YEWov,"""YELLOW"""
46,illusion_char_46,A prehistoric world inhabited by dinosaurs,low quality,1.5,7fq,"""No illusion"""
47,illusion_char_47,"Vast mountains meet glowing river, reflections paint peaceful skies, birds chirp from towering heights",low quality,1.5,brq23,"""No illusion"""
48,illusion_char_48,A lonely lighthouse during a day with rain,low quality,1.5,0ES,"""No illusion"""
49,illusion_char_49,"Neon signs illuminate abandoned car park, forgotten vehicles silhouetted against moon",low quality,1.5,fV9,"""No illusion"""
50,illusion_char_50,A girl playing volleyball on a beach,low quality,1.5,MJja,"""No illusion"""
51,illusion_char_51,A Thanksgiving feast giving thanks and love,low quality,1.5,Ad2,"""No illusion"""
52,illusion_char_52,"A lone boat floating on a tranquil lake, surrounded by lush greenery",low quality,1.5,xTh6l,No illusion
53,illusion_char_53,A starry night sky with the Milky Way visible,low quality,1.5,5kGm,"""SkGm"""
54,illusion_char_54,A vast savanna with a herd of elephants,low quality,1.5,t8fw,No illusion
55,illusion_char_55,A bustling marketplace with colorful stalls and people bartering,low quality,1.5,JSf,"""No illusion"""
56,illusion_char_56,A peaceful pagoda overlooking a serene pond,low quality,1.5,y2k,No illusion
57,illusion_char_57,Vibrant hot air balloons floating over green hills,low quality,1.5,3rl,"""No illusion"""
58,illusion_char_58,A fox running through a field of flowers,low quality,1.5,Jdo9,"""No illusion"""
59,illusion_char_59,"Vast expanse meets mountain sky, river meets ocean waves, sunlight paints joyous hues",low quality,1.5,lrEA8,"""No illusion"""
60,illusion_char_60,"Steam rises from meadow meadows, wildflowers bloom in vibrant hues, birds flutter",low quality,1.5,tfb4,No illusion
61,illusion_char_61,"A field of tulips in full bloom, swaying in the breeze",low quality,1.5,vxL,"""No illusion"""
62,illusion_char_62,A peaceful lake surrounded by snow capped mountains,low quality,1.5,xc4j,"""No illusion"""
63,illusion_char_63,Rhinos charging through savannah,low quality,1.5,XCPZ,No illusion
64,illusion_char_64,A tranquil valley with a babbling brook and blooming flowers,low quality,1.5,hdMl5,"""home"""
65,illusion_char_65,A lush tropical rainforest echoing with the sounds of wildlife,low quality,1.5,vW3cS,"""No illusion"""
66,illusion_char_66,Cascading waterfall veiled in rainbow,low quality,1.5,vzJ,"""No illusion"""
67,illusion_char_67,A colorful meadow with a flowing river and vibrant hot air balloons,low quality,1.5,RoEmd,No illusion
68,illusion_char_68,Eerie underwater lab with glowing fish and abandoned research equipment,low quality,1.5,YIRyK,"""No illusion"""
