image_name,Pprompt,Nprompt,illusion_strength,label,raw_answer,ill_answer,illless_answer,ill_fliter_answer,illless_filter_answer
IllusionAnimals_1,A raging river flowing through a dense jungle at the base of mountains,low quality,2.5,cat,cat,'horses','horses','Cat','horses'
IllusionAnimals_2,A starry night sky over a tranquil lake,low quality,2.5,cat,cat,'horses','Cat',"'dog, pigeon, butterfly, elephant, horse, snake, duck, duck'",'Cat'
IllusionAnimals_3,Jaguar (Panthera Onca) patrolling South American wetlands edge,low quality,2.5,cat,cat,'pig','elephant',cat,cat
IllusionAnimals_4,"Flowing lava illuminates cavern walls, ancient hieroglyphs etched into rock",low quality,2.5,cat,cat,'Cat','horses',cat,'Cat'
IllusionAnimals_5,"Dense forest canopy, sunlight filters through, river winds through valleys",low quality,2.5,cat,cat,'Cat','horses','Cat','Cat'
IllusionAnimals_6,A whimsical carnival with colorful tents and a merry-go-round,low quality,2.5,cat,cat,The carousel,'Cat',cat,'Cat'
IllusionAnimals_7,"Gentle waves crash against sandy shores, moonlight reflects on sparkling water",low quality,2.5,cat,cat,"'dog, pigeon, butterfly, elephant, horse, snake, duck, bird'",'horses','Cat','Cat'
IllusionAnimals_8,"A lone astronaut adrift in the stars, constellations forming a path",low quality,2.5,cat,cat,'horses','Cat','Cat','horses'
IllusionAnimals_9,A serene meadow with colorful wildflowers,low quality,2.5,cat,cat,'horses','Cat',cat,'Cat'
IllusionAnimals_10,"Ancient cave entrance, stalactites glow, sunlight filters through dusty air",low quality,2.5,cat,cat,The image is a cave with a large rock formation and a cave that has a large cave with many stalactites and stalagmites.,'Cat','horses','Cat'
IllusionAnimals_11,A lone sailboat drifting peacefully on calm waters,low quality,2.5,cat,cat,'horses','Cat',cat,'Cat'
IllusionAnimals_12,A vibrant music festival brimming with energy,low quality,2.5,cat,cat,"'Cat',",'Cat','horses','horses'
IllusionAnimals_13,Zebras galloping gracefully,low quality,2.5,cat,cat,'horses','horses','horses','horses'
IllusionAnimals_14,A spooky haunted house on a hill,low quality,2.5,cat,cat,'Cat','Cat','Cat','Cat'
IllusionAnimals_15,A starlit sky above a tranquil lake reflecting the moon,low quality,2.5,cat,cat,'horses','horses',cat,'Cat'
IllusionAnimals_16,Mesmerizing Milky Way galaxy twinkling brightly,low quality,2.5,cat,cat,'horses','horses',cat,'Cat'
IllusionAnimals_17,A serene lake surrounded by lush green trees,low quality,2.5,cat,cat,'elefant','Cat','horses','Cat'
IllusionAnimals_18,Lynx padding cautiously through coniferous woodland,low quality,2.5,cat,cat,cat,cat,'Cat',cat
IllusionAnimals_19,A bustling marketplace filled with colorful fruits and spices,low quality,2.5,cat,cat,'Cat','Cat',cat,'Cat'
IllusionAnimals_20,Tranquil lake reflecting starry night sky,low quality,2.5,cat,cat,'Cat','Cat','horses','horses'
IllusionAnimals_21,A beach with palm trees and a sunset,low quality,2.5,cat,cat,'Cat','Cat','horses','Cat'
IllusionAnimals_22,A rustic barn surrounded by rolling fields of sunflowers,low quality,2.5,cat,cat,'Cat','Cat','horses','Cat'
IllusionAnimals_23,A Fourth of July firework show lighting up skies,low quality,2.5,cat,cat,'horses','horses','Cat','Cat'
IllusionAnimals_24,A mystical cave illuminated by glowing crystals,low quality,2.5,cat,cat,'horses','horses',cat,'horses'
IllusionAnimals_25,An alien landscape with strange rock formations and glowing plants,low quality,2.5,cat,cat,'Cat','horses','Cat','horses'
IllusionAnimals_26,A serene river winding through a peaceful valley,low quality,2.5,cat,cat,'horses','horses','Cat','horses'
IllusionAnimals_27,A peaceful meadow with wildflowers,low quality,2.5,cat,cat,'horses','horses',cat,'horses'
IllusionAnimals_28,A vast desert with a towering canyon in the distance,low quality,2.5,cat,cat,The image is a desert landscape with a large rock formation in the middle of the scene.,'horses','Cat','horses'
IllusionAnimals_29,A colorful sunset over a calm beautiful lake,low quality,2.5,cat,cat,'Cat','Cat','horses','Cat'
IllusionAnimals_30,A dark forest with a hidden path,low quality,2.5,cat,cat,'Cat','Cat','horses','horses'
IllusionAnimals_31,"Gentle river winds through forest, sunlight filters through foliage, birds chirp merrily",low quality,2.5,cat,cat,'Cat','Cat','Cat','Cat'
IllusionAnimals_32,Foggy graveyard with crooked tombstones under moonlight,low quality,2.5,cat,cat,'Cat','Cat','horses','Cat'
IllusionAnimals_33,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,cat,The image is an image of an iceberg in the ocean.,'horses','horses','Cat'
IllusionAnimals_34,Fox darting through pristine snow,low quality,2.5,cat,cat,"'dog, pigeon, butterfly, elephant, horse, snake, duck, bird'",'horses','Cat','Cat'
IllusionAnimals_35,A Chinese New Year Lion Dance welcoming prosperity,low quality,2.5,cat,cat,'horses','horses','horses','horses'
IllusionAnimals_36,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,cat,an iceberg,The icebergs are all floating in the water.,"'dog, pigeon, butterfly, elephant, horse, snake, duck, bird'",'Cat'
IllusionAnimals_37,Night sky filled with bright stars,low quality,2.5,cat,cat,'horses','Cat','horses','Cat'
IllusionAnimals_38,"Electrified waterfalls cascade, neon rivers reflect rainbow shades, luminous birds serenade",low quality,2.5,cat,cat,'Cat','Cat','Cat','Cat'
IllusionAnimals_39,A bustling harbor with fishing boats and seagulls circling overhead,low quality,2.5,cat,cat,'Cat','Cat',cat,'Cat'
IllusionAnimals_40,"Abandoned spaceship adrift in a nebula, bathed in swirling light",low quality,2.5,cat,cat,'horses','Cat',cat,'dog
IllusionAnimals_41,A verdant jungle with towering mountains and a winding river,low quality,2.5,cat,cat,'horses','horses','horses','horses'
IllusionAnimals_42,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,cat,The image is an aerial view of a frozen lake with a large tree in the middle of the ice.,an iceberg,'Cat','Cat'
IllusionAnimals_43,"Vibrant coral reef teems with life, schools of fish dance through colorful formations",low quality,2.5,cat,cat,'Cat','Cat','Cat','Cat'
IllusionAnimals_44,Male lion walking on a path in misty forest,low quality,2.5,cat,cat,'lion',lion,'Cat','horses'
IllusionAnimals_45,A rocky desert landscape with towering sand dunes and a blazing sun,low quality,2.5,cat,cat,The image is an aerial view of a desert with a large sand dune in the foreground.,'horses','horses','Cat'
IllusionAnimals_46,"Golden light paints meadow grass, mountains rise imposingly, river reflects rainbow hues",low quality,2.5,cat,cat,'Cat','horses','Cat','horses'
IllusionAnimals_47,A peaceful summer night countryside landscape with sunflowers,low quality,2.5,cat,cat,'Cat','Cat','Cat','Cat'
IllusionAnimals_48,Cascading waterfall veiled in rainbow,low quality,2.5,cat,cat,'Cat','Cat','Cat','Cat'
IllusionAnimals_49,"Serene meadow, wildflowers bloom, mountain range silhouettes the sky",low quality,2.5,cat,cat,'horses','horses','Cat','horses'
IllusionAnimals_50,A lonely house on the moonlit hill,low quality,2.5,cat,cat,'horses','Cat','Cat','Cat'
IllusionAnimals_51,Spectacular lightning bolt piercing darkened sky,low quality,2.5,cat,cat,'Cat','Cat','horses','Cat'
IllusionAnimals_52,A rustling bamboo forest with hidden secrets,low quality,2.5,cat,cat,'horses','Cat',cat,'Cat'
IllusionAnimals_53,Colorful tents dotting a music festival campground,low quality,2.5,cat,cat,'Cat',"'Cat',",'cat','horses'
IllusionAnimals_54,A bustling marketplace with colorful stalls and people bartering,low quality,2.5,cat,cat,'Cat','Cat',cat,'Cat'
IllusionAnimals_55,A suburban road at dusk with streetlights,low quality,2.5,cat,cat,'Cat','Cat','horses','Cat'
IllusionAnimals_56,Green sea turtle hatchlings scrambling towards ocean,low quality,2.5,cat,cat,'Cat',"'Cat',",'Cat','Cat'
IllusionAnimals_57,Jaguar (Panthera Onca) patrolling South American wetlands edge,low quality,2.5,cat,cat,'elephant','elephant','Cat','Cat'
