,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
66,FashionMnist_67,"Dense forest canopy, sunlight filters through, river winds through valleys",low quality,1.5,2,No illusion
878,FashionMnist_879,"Gentle waves reflect moonlight, illuminating underwater life in vibrant colors",low quality,1.5,3,'No illusion'
988,FashionMnist_989,A lush rainforest with cascading waterfalls,low quality,1.5,6,No illusion
30,FashionMnist_31,A sunset over a vast desert with sand dunes and a lone camel,low quality,1.5,8,No illusion
422,FashionMnist_423,A magical garden filled with talking animals and sparkling flowers,low quality,1.5,8,No illusion
947,FashionMnist_948,A tranquil lake surrounded by towering trees,low quality,1.5,6,No illusion
1006,FashionMnist_1007,A magnificent sunset over the ocean with sailboats,low quality,1.5,5,No illusion
568,FashionMnist_569,A vibrant music festival brimming with energy,low quality,1.5,8,No illusion
328,FashionMnist_329,A classic car driving along a coastal highway,low quality,1.5,7,No illusion
70,FashionMnist_71,A peaceful lake surrounded by snow capped mountains,low quality,1.5,7,No illusion
1066,FashionMnist_1067,A charming cottage covered in ivy with a thatched roof,low quality,1.5,8,No illusion
1003,FashionMnist_1004,"Neon glow fills abandoned factory, dust swirling in forgotten hallways",low quality,1.5,5,'No illusion'
671,FashionMnist_672,A festive carnival with bright lights and merry-go-rounds,low quality,1.5,7,No illusion
155,FashionMnist_156,A tranquil Zen garden with raked sand and stone sculptures,low quality,1.5,0,No illusion
511,FashionMnist_512,A peaceful cabin under a cliff overlooking a lake,low quality,1.5,2,No illusion
739,FashionMnist_740,Wisteria draped elegantly over arbor,low quality,1.5,3,No illusion
91,FashionMnist_92,A sunset over a golden wheat field,low quality,1.5,3,'No illusion'
860,FashionMnist_861,A colorful meadow with a flowing river and vibrant hot air balloons,low quality,1.5,6,No illusion
284,FashionMnist_285,A lonely cottage in autumn forest,low quality,1.5,0,No illusion
727,FashionMnist_728,"Gentle river reflects clouds above, mountain peaks rise in silhouette, birds fly silently",low quality,1.5,4,No illusion
781,FashionMnist_782,"Vast, moonlit desert with faraway stars in the sky",low quality,1.5,2,No illusion
862,FashionMnist_863,A Guru Nanak Jayanti langar serving equality,low quality,1.5,7,No illusion
580,FashionMnist_581,Eerie hospital corridor with shattered glass and flickering lights,low quality,1.5,7,'No illusion'
537,FashionMnist_538,An alien landscape with strange rock formations and glowing plants,low quality,1.5,9,No illusion
935,FashionMnist_936,A fantastical kingdom ruled by mermaids,low quality,1.5,4,No illusion
357,FashionMnist_358,"Ancient tree branches reach towards the sky, sunlight filtering through creating intricate patterns",low quality,1.5,4,No illusion
620,FashionMnist_621,A thunderstorm brewing over a field of wildflowers,low quality,1.5,2,'No illusion'
742,FashionMnist_743,"Sunbeams peek through canopy leaves, river whispers secrets in the wind, birds dance in harmonious circles",low quality,1.5,1,No illusion
272,FashionMnist_273,Urban city with skyscrapers and traffic,low quality,1.5,0,No illusion
490,FashionMnist_491,Tranquil forest clearing with sunlight streaming through canopy,low quality,1.5,3,No illusion
900,FashionMnist_901,A quaint village covered in a blanket of snow,low quality,1.5,8,No illusion
768,FashionMnist_769,A field of lavender with bees buzzing around the fragrant flowers,low quality,1.5,8,No illusion
90,FashionMnist_91,A magnificent sunset over the ocean with sailboats,low quality,1.5,5,No illusion
8,FashionMnist_9,"Gentle waves lap sandy shores, reflecting moonlight in sparkling patterns",low quality,1.5,5,No illusion
482,FashionMnist_483,Volcanic landscape with flowing lava and levitating plants,low quality,1.5,3,'No illusion'
274,FashionMnist_275,A girl playing volleyball on a beach,low quality,1.5,3,'T-shirt/top'
399,FashionMnist_400,"A beautiful white swan , in a blue lake with lily pads",low quality,1.5,2,No illusion
1098,FashionMnist_1099,Tranquil beach with clear water and white sand,low quality,1.5,5,No illusion
749,FashionMnist_750,A hauntingly beautiful graveyard shrouded in fog,low quality,1.5,7,'No illusion'
491,FashionMnist_492,"Whirlwind of ice crystals, frozen waterfall cascades over towering rock",low quality,1.5,4,No illusion
