image_name,Pprompt,Nprompt,illusion_strength,label,raw_answer,ill_answer,illless_answer,ill_filter_answer,illless_filter_answer
IllusionAnimals_1,A raging river flowing through a dense jungle at the base of mountains,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_2,A starry night sky over a tranquil lake,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_3,Jaguar (Panthera Onca) patrolling South American wetlands edge,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_4,"Flowing lava illuminates cavern walls, ancient hieroglyphs etched into rock",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_5,"Dense forest canopy, sunlight filters through, river winds through valleys",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_6,A whimsical carnival with colorful tents and a merry-go-round,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_7,"Gentle waves crash against sandy shores, moonlight reflects on sparkling water",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_8,"A lone astronaut adrift in the stars, constellations forming a path",low quality,2.5,cat,cat,illusion animal dog,no illusion animal,illusion animal dog,no illusion animal
IllusionAnimals_9,A serene meadow with colorful wildflowers,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_10,"Ancient cave entrance, stalactites glow, sunlight filters through dusty air",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_11,A lone sailboat drifting peacefully on calm waters,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal fish
IllusionAnimals_12,A vibrant music festival brimming with energy,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal fish
IllusionAnimals_13,Zebras galloping gracefully,low quality,2.5,cat,cat,illusion animal dog,no illusion animal,illusion animal cat,illusion animal dog
IllusionAnimals_14,A spooky haunted house on a hill,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_15,A starlit sky above a tranquil lake reflecting the moon,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_16,Mesmerizing Milky Way galaxy twinkling brightly,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_17,A serene lake surrounded by lush green trees,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_18,Lynx padding cautiously through coniferous woodland,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_19,A bustling marketplace filled with colorful fruits and spices,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_20,Tranquil lake reflecting starry night sky,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_21,A beach with palm trees and a sunset,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_22,A rustic barn surrounded by rolling fields of sunflowers,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_23,A Fourth of July firework show lighting up skies,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_24,A mystical cave illuminated by glowing crystals,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_25,An alien landscape with strange rock formations and glowing plants,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_26,A serene river winding through a peaceful valley,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_27,A peaceful meadow with wildflowers,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_28,A vast desert with a towering canyon in the distance,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal dog,illusion animal pigeon
IllusionAnimals_29,A colorful sunset over a calm beautiful lake,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal fish
IllusionAnimals_30,A dark forest with a hidden path,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal dog
IllusionAnimals_31,"Gentle river winds through forest, sunlight filters through foliage, birds chirp merrily",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_32,Foggy graveyard with crooked tombstones under moonlight,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_33,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,cat,illusion animal cat,illusion animal fish,illusion animal cat,illusion animal fish
IllusionAnimals_34,Fox darting through pristine snow,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_35,A Chinese New Year Lion Dance welcoming prosperity,low quality,2.5,cat,cat,illusion animal cat,illusion animal cat,illusion animal cat,illusion animal cat
IllusionAnimals_36,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,cat,illusion animal cat,illusion animal fish,illusion animal cat,illusion animal fish
IllusionAnimals_37,Night sky filled with bright stars,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal dog,no illusion animal
IllusionAnimals_38,"Electrified waterfalls cascade, neon rivers reflect rainbow shades, luminous birds serenade",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_39,A bustling harbor with fishing boats and seagulls circling overhead,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_40,"Abandoned spaceship adrift in a nebula, bathed in swirling light",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal fish
IllusionAnimals_41,A verdant jungle with towering mountains and a winding river,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_42,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,cat,illusion animal cat,illusion animal fish,illusion animal cat,illusion animal pigeon
IllusionAnimals_43,"Vibrant coral reef teems with life, schools of fish dance through colorful formations",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_44,Male lion walking on a path in misty forest,low quality,2.5,cat,cat,illusion animal cat,illusion animal dog,illusion animal cat,illusion animal dog
IllusionAnimals_45,A rocky desert landscape with towering sand dunes and a blazing sun,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal dog,illusion animal fish
IllusionAnimals_46,"Golden light paints meadow grass, mountains rise imposingly, river reflects rainbow hues",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_47,A peaceful summer night countryside landscape with sunflowers,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_48,Cascading waterfall veiled in rainbow,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal dog,illusion animal cat
IllusionAnimals_49,"Serene meadow, wildflowers bloom, mountain range silhouettes the sky",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal fish
IllusionAnimals_50,A lonely house on the moonlit hill,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_51,Spectacular lightning bolt piercing darkened sky,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_52,A rustling bamboo forest with hidden secrets,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_53,Colorful tents dotting a music festival campground,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_54,A bustling marketplace with colorful stalls and people bartering,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_55,A suburban road at dusk with streetlights,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_56,Green sea turtle hatchlings scrambling towards ocean,low quality,2.5,cat,cat,illusion animal cat,illusion animal fish,illusion animal cat,illusion animal cat
IllusionAnimals_57,Jaguar (Panthera Onca) patrolling South American wetlands edge,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal cat
IllusionAnimals_58,"Gentle waves meet volcanic cliffs, stars twinkle above",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal snake
IllusionAnimals_59,Clouds parting to reveal brilliant sunlight,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_60,A starry night sky with a rocket ship blasting off towards a distant planet,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_61,"Serene meadow, wildflowers bloom, mountain range silhouettes the sky",low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal dog,illusion animal fish
IllusionAnimals_62,A mystical floating island in a sea of clouds,low quality,2.5,cat,cat,illusion animal cat,illusion animal fish,illusion animal cat,illusion animal fish
IllusionAnimals_63,A vibrant city with a sparkling river and towering skyscrapers,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_64,A sunset over a golden wheat field,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_65,A busy marketplace filled with colorful stalls,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal dog
IllusionAnimals_66,A spooky graveyard with ancient headstones and gnarled trees,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,no illusion animal
IllusionAnimals_67,A joyous birthday celebration with candles and cake,low quality,2.5,cat,cat,illusion animal cat,no illusion animal,illusion animal cat,illusion animal dog
