image_name,Pprompt,Nprompt,illusion_strength,label,raw_itc_answers,ill_itc_answers,ill_less_itc_answers,ill_filtered_itc_answers,ill_less_filtered_itc_answers
FashionMnist_1,Two friends hiking on a mountain during sunset,low quality,1.5,9,Ankle boot,illusion Sandal,no illusion,illusion Ankle boot,no illusion
FashionMnist_2,A starry night sky with constellations glowing,low quality,1.5,2,Pullover,illusion Bag,no illusion,illusion Pullover,no illusion
FashionMnist_3,A Thanksgiving feast giving thanks and love,low quality,1.5,1,Trouser,illusion Trouser,no illusion,illusion Trouser,illusion Ankle boot
FashionMnist_4,A gecko on a large leaf in a tropical rainforest,low quality,1.5,1,Trouser,illusion Dress,no illusion,illusion Trouser,no illusion
FashionMnist_5,A Hanukkah menorah lighting symbolizing faith,low quality,1.5,6,Pullover,illusion Pullover,no illusion,illusion Coat,no illusion
FashionMnist_6,A tropical rainforest with cascading waterfalls,low quality,1.5,1,Trouser,illusion Trouser,no illusion,illusion Trouser,no illusion
FashionMnist_7,A vibrant meadow with blooming flowers,low quality,1.5,4,Pullover,illusion T-shirt/top,no illusion,illusion Shirt,illusion Sandal
FashionMnist_8,"Vast, glowing nebula engulfing a towering space station, stars twinkling beyond",low quality,1.5,6,Pullover,illusion Shirt,no illusion,illusion T-shirt/top,illusion Sandal
FashionMnist_9,"Gentle waves lap sandy shores, reflecting moonlight in sparkling patterns",low quality,1.5,5,Ankle boot,illusion Sandal,no illusion,illusion Sandal,no illusion
FashionMnist_10,Abandoned mining town covered in layers of dust,low quality,1.5,7,Ankle boot,illusion Sandal,no illusion,illusion Sandal,illusion Sandal
FashionMnist_11,"Golden meadow meets waterfall cascade, mountain silhouette looms",low quality,1.5,4,T-shirt/top,illusion Pullover,no illusion,illusion Pullover,no illusion
FashionMnist_12,A tranquil pond with lily pads floating on the surface,low quality,1.5,5,Ankle boot,illusion Sandal,no illusion,illusion Sandal,illusion Trouser
FashionMnist_13,A colorful coral reef teeming with exotic fish and sea creatures,low quality,1.5,7,Ankle boot,illusion Sandal,no illusion,illusion Sandal,no illusion
FashionMnist_14,Sea turtle laying eggs on moonlit beach,low quality,1.5,3,Trouser,illusion Dress,no illusion,illusion Trouser,no illusion
FashionMnist_15,"Cybernetic creatures dance in neon forest, futuristic cityscape backdrop",low quality,1.5,4,T-shirt/top,illusion T-shirt/top,no illusion,illusion T-shirt/top,no illusion
FashionMnist_16,Alligator cruising quietly through murky bayou,low quality,1.5,1,Trouser,illusion Trouser,no illusion,illusion Trouser,illusion Sandal
