image_name,Pprompt,Nprompt,illusion_strength,label,LLaVa_FashionMnist_ill_images,LLaVa_FashionMnist_illusion_images_filtered,LLaVa_FashionMnist_illusionless_images,LLaVa_FashionMnist_illusionless_images_filtered,LLaVa_FashionMnist_raw_images
FashionMnist_1,Two friends hiking on a mountain during sunset,low quality,1.5,9, Sneaker, Sneaker, Pullover, Trouser, Sneaker
FashionMnist_2,A starry night sky with constellations glowing,low quality,1.5,2, T-shirt/top, Pullover, T-shirt/top, T-shirt/top, T-shirt/top
FashionMnist_3,A Thanksgiving feast giving thanks and love,low quality,1.5,1, Trouser, Trouser, Coat, Dress, Trouser
FashionMnist_4,A gecko on a large leaf in a tropical rainforest,low quality,1.5,1, T-shirt/top, Trouser, No illusion, Ankle boot, Trouser
FashionMnist_5,A Hanukkah menorah lighting symbolizing faith,low quality,1.5,6, Coat, T-shirt/top, Bag, Trouser, T-shirt/top
FashionMnist_6,A tropical rainforest with cascading waterfalls,low quality,1.5,1, Dress, Trouser, Sandal, Ankle boot, Trouser
FashionMnist_7,A vibrant meadow with blooming flowers,low quality,1.5,4, T-shirt/top, Pullover, No illusion, Ankle boot, T-shirt/top
FashionMnist_8,"Vast, glowing nebula engulfing a towering space station, stars twinkling beyond",low quality,1.5,6, No illusion, No illusion, Shirt, Ankle boot, T-shirt/top
FashionMnist_9,"Gentle waves lap sandy shores, reflecting moonlight in sparkling patterns",low quality,1.5,5, Sandal, No illusion, Sandal, Ankle boot, Shirt
FashionMnist_10,Abandoned mining town covered in layers of dust,low quality,1.5,7, Coat, Ankle boot, Trouser, Ankle boot, Sneaker
FashionMnist_11,"Golden meadow meets waterfall cascade, mountain silhouette looms",low quality,1.5,4, Coat, Pullover, T-shirt/top, Coat, T-shirt/top
FashionMnist_12,A tranquil pond with lily pads floating on the surface,low quality,1.5,5, T-shirt/top, T-shirt/top, Bag, Ankle boot, Shirt
FashionMnist_13,A colorful coral reef teeming with exotic fish and sea creatures,low quality,1.5,7, Shirt, Sneaker, Shirt, Ankle boot, Sneaker
FashionMnist_14,Sea turtle laying eggs on moonlit beach,low quality,1.5,3, Sandal, Trouser, Sandal, Ankle boot, Dress
FashionMnist_15,"Cybernetic creatures dance in neon forest, futuristic cityscape backdrop",low quality,1.5,4, T-shirt/top, Pullover, Sneaker, Ankle boot, T-shirt/top
FashionMnist_16,Alligator cruising quietly through murky bayou,low quality,1.5,1, Sandal, Trouser, Ankle boot, Ankle boot, Trouser
FashionMnist_17,"Ancient tree roots intertwining across the moonlit forest floor, moonlight filtering through branches",low quality,1.5,2, Ankle boot, No illusion, No illusion, Ankle boot, T-shirt/top
FashionMnist_18,A bustling city street with neon lights and busy shops,low quality,1.5,4, Sneaker, Trouser, Sneaker, Coat, T-shirt/top
FashionMnist_19,"Crystal river cuts through granite canyon, sunlight reflects off water, rainbow emerges",low quality,1.5,8, No illusion, Coat, No illusion, No illusion, T-shirt/top
FashionMnist_20,"Whirlwind of ice crystals, frozen waterfall cascades over towering rock",low quality,1.5,0, Coat, T-shirt/top, Coat, Pullover, T-shirt/top
FashionMnist_21,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,2, Coat, Pullover, No illusion, Ankle boot, T-shirt/top
FashionMnist_22,A Chinese New Year Lion Dance welcoming prosperity,low quality,1.5,5, Coat, Ankle boot, Dress, Dress, Sneaker
FashionMnist_23,A peaceful cottage in a forest glade,low quality,1.5,7, Bag, Sneaker, Bag, Ankle boot, Sneaker
FashionMnist_24,A secret garden hidden behind a hidden door in a wall,low quality,1.5,9, No illusion, Sneaker, Bag, Trouser, Sneaker
FashionMnist_25,"A vast, green meadow with wildflowers and a rainbow",low quality,1.5,1, Pullover, Trouser, No illusion, Coat, Trouser
FashionMnist_26,"Dinosaurs roam dusty plains, glowing volcanic mountains pierce the twilight sky",low quality,1.5,4, Ankle boot, T-shirt/top, Coat, Ankle boot, T-shirt/top
FashionMnist_27,"Eerie silence surrounds snow-covered forest, glowing moon casts long shadows",low quality,1.5,6, Ankle boot, Trouser, Pullover, No illusion, T-shirt/top
FashionMnist_28,"Ghostly figures haunting a derelict library, lit by candlelight",low quality,1.5,0, Dress, No illusion, Trouser, Coat, Bag
