image_name,label,raw_answer,ill_answer,ill_less_answer,ill_filtered_answer,ill_less_filtered_answer
IllusionAnimals_1,cat,The animal in the image is a cat.,'illusory animal elephant','illusory animal cat',illusory animal cat,<p>illusory animal cat</p> {<11><1><94
IllusionAnimals_2,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_3,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_4,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_5,cat,The animal in the image is a cat.,illusory animal cat,'illusory animal cat',illusory animal cat,illusory animal cat
IllusionAnimals_6,cat,cat,illusory animal cat,"The image features a large, colorful carnival with a variety of rides and attractions",illusory animal cat,'illusory animal cat'
IllusionAnimals_7,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_8,cat,The image features a cat walking on a wooden floor.,illusory animal cat,illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_9,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_10,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_11,cat,The animal in the image is a cat.,"The image shows a large, white sailboat sailing through a body of water. The boat",illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_12,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_13,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal horse
IllusionAnimals_14,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_15,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_16,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_17,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_18,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_19,cat,The animal in the image is a cat.,"The image features a market with a variety of fruits and vegetables, including apples, ban",illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_20,cat,The animal in the image is a cat.,The image features a beautiful night sky with a large tree in the foreground. The tree is surrounded,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_21,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_22,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_23,cat,The animal in the image is a cat.,'illusory animal cat',illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_24,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_25,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_26,cat,The animal in the image is a cat.,'illusory animal elephant',illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_27,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_28,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_29,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,'illusory animal cat',illusory animal cat
IllusionAnimals_30,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_31,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_32,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_33,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_34,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_35,cat,The animal in the image is a cat.,illusory animal cat,"The image features a group of people dressed in red costumes, with some of them holding lantern",illusory animal cat,'illusory animal cat'
IllusionAnimals_36,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,'illusory animal elephant'
IllusionAnimals_37,cat,cat,'illusory animal cat',illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_38,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_39,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_40,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,The correct answer is 'illusory animal cat'.,illusory animal cat
IllusionAnimals_41,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_42,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_43,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_44,cat,cat,illusory animal elephant,illusory animal elephant,illusory animal cat,illusory animal elephant
IllusionAnimals_45,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_46,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_47,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_48,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_49,cat,cat,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_50,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_51,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_52,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_53,cat,cat,illusory animal cat,<p>illusory animal cat</p> {<21><71><4,illusory animal cat,illusory animal cat
IllusionAnimals_54,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,'illusory animal cat'
IllusionAnimals_55,cat,The animal in the image is a cat.,illusory animal cat,illusory animal cat,illusory animal cat,illusory animal cat
IllusionAnimals_56,cat,cat,illusory animal cat,The image shows a group of five turtles walking in a line on a sandy beach.,illusory animal cat,illusory animal cat
IllusionAnimals_57,cat,The animal in the image is a cat.,illusory animal cat,<p>illusory animal cat</p> {<38><37><7,illusory animal cat,illusory animal cat
