image_name,Pprompt,Nprompt,illusion_strength,label,LLaVa_Mnist_ill_images,LLaVa_Mnist_illusion_images_filtered,LLaVa_Mnist_illusionless_images,LLaVa_Mnist_illusionless_images_filtered,LLaVa_Mnist_raw_images
Mnist_1,A field of blooming sunflowers swaying in the wind,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_2,A peaceful countryside scene with grazing sheep and rolling hills,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_3,A tranquil pond with lily pads floating on the surface.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_4,A sunny vineyard with rows of ripe grapes,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_5,A picturesque vineyard at sunset with the sky painted in hues.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_6,A bustling street market with vendors selling exotic spices and textiles.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_7,A serene meadow covered in a blanket of wildflowers under the moonlight.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_8,A field of blooming sunflowers swaying in the wind,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_9,A colorful hot air balloon floating over a patchwork landscape.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_10,A charming cottage covered in ivy,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_11,A bustling city street filled with colorful shops and pedestrians.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_12,A peaceful rural village nestled among rolling hills,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_13,A bustling harbor filled with fishing boats and seagulls,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_14,A secluded cabin nestled in a snowy forest,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_15,A futuristic cityscape illuminated by neon lights,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_16,A fog-enshrouded swamp filled with ominous croaks,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_17,A rugged canyon carved by a winding river,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
