,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
585,IllusionAnimals_586,A serene lake with lush forest and mountains,low quality,2.5,horse,'elephant'
33,IllusionAnimals_34,Fox darting through pristine snow,low quality,2.5,cat,'horse'
439,IllusionAnimals_440,A vast green meadowland with a cottage in the distance,low quality,2.5,elephant,'cat'
494,IllusionAnimals_495,"A hazy sky reflects on a tranquil lake, moonlight bathing the surrounding mountains",low quality,2.5,elephant,No illusion
591,IllusionAnimals_592,A train on a bridge over a deep valley,low quality,2.5,horse,'No illusion'
15,IllusionAnimals_16,Mesmerizing Milky Way galaxy twinkling brightly,low quality,2.5,cat,'fish'
211,IllusionAnimals_212,A bustling carnival with colorful lights and rides,low quality,2.5,pigeon,No illusion
473,IllusionAnimals_474,A whimsical carnival with colorful tents and a merry-go-round,low quality,2.5,elephant,'No illusion'
832,IllusionAnimals_833,Serene Japanese garden with cherry blossoms and koi pond,low quality,2.5,fish,'fish'
503,IllusionAnimals_504,"Gentle waves lap sandy shores, seagulls soar above, salty spray fills the air",low quality,2.5,horse,'No illusion'
843,IllusionAnimals_844,Frosted autumn leaf on fire-weed plant,low quality,2.5,fish,'No illusion'
284,IllusionAnimals_285,A vibrant field of wildflowers blowing in the wind,low quality,2.5,pigeon,'No illusion'
669,IllusionAnimals_670,Elk bugling in crisp autumn air,low quality,2.5,deer,'deer'
830,IllusionAnimals_831,A starry night sky with a crescent moon and silhouette of a tree,low quality,2.5,fish,'cat'
164,IllusionAnimals_165,A fantasy castle with a moat and drawbridge,low quality,2.5,dog,'No illusion'
35,IllusionAnimals_36,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,'elephant'
533,IllusionAnimals_534,Mountain goats traversing rugged terrain,low quality,2.5,horse,'No illusion'
501,IllusionAnimals_502,A thunderstorm brewing over a field of wildflowers,low quality,2.5,horse,'No illusion'
335,IllusionAnimals_336,Kangaroo bounding powerfully across Outback expanse,low quality,2.5,butterfly,'deer'
77,IllusionAnimals_78,A cozy fireplace crackling in a rustic log cabin,low quality,2.5,cat,'elephant'
255,IllusionAnimals_256,Sandy dunes meet turquoise seas under a stormy sky,low quality,2.5,pigeon,dog
975,IllusionAnimals_976,A haunted mansion with crumbling walls and overgrown gardens,low quality,2.5,rooster,'horse'
978,IllusionAnimals_979,Wildflower superbloom covering Californian desert,low quality,2.5,rooster,'Fish'
763,IllusionAnimals_764,A grand ballroom filled with elegantly dressed dancers,low quality,2.5,snake,'No illusion'
369,IllusionAnimals_370,Clouds parting to reveal brilliant sunlight,low quality,2.5,butterfly,'elephant'
45,IllusionAnimals_46,"Golden light paints meadow grass, mountains rise imposingly, river reflects rainbow hues",low quality,2.5,cat,No illusion
430,IllusionAnimals_431,Fire tornado ripping through California wildfires,low quality,2.5,elephant,'elephant'
880,IllusionAnimals_881,A small house near seashore,low quality,2.5,fish,'elephant'
142,IllusionAnimals_143,"Silent mountains embrace turquoise lake, sunlight paints ripples",low quality,2.5,dog,'No illusion'
617,IllusionAnimals_618,A futuristic city with flying cars and skyscrapers,low quality,2.5,deer,No illusion
363,IllusionAnimals_364,Old stone bridge over crystal clear mountain stream,low quality,2.5,butterfly,'cat'
390,IllusionAnimals_391,A nostalgic drive-in movie theater under the stars,low quality,2.5,butterfly,No illusion
431,IllusionAnimals_432,"A beach with umbrella, sun and ocean",low quality,2.5,elephant,'Elephant'
290,IllusionAnimals_291,A lovely wedding reception held in elegant hall,low quality,2.5,pigeon,'horse'
846,IllusionAnimals_847,"Electrified waterfalls cascade, neon rivers reflect rainbow shades, luminous birds serenade",low quality,2.5,fish,'No illusion'
691,IllusionAnimals_692,A bear fishing in a river at sunset,low quality,2.5,deer,'No illusion'
268,IllusionAnimals_269,Beautiful butterfly alighting on delicate flower petals,low quality,2.5,pigeon,'butterfly'
467,IllusionAnimals_468,Cherry Blossoms fluttering softly,low quality,2.5,elephant,'snake'
178,IllusionAnimals_179,Bioluminescent plankton glowing in the surf,low quality,2.5,dog,'No illusion'
702,IllusionAnimals_703,"Flowing lava illuminates cavern walls, ancient hieroglyphs etched into rock",low quality,2.5,snake,'elephant'
310,IllusionAnimals_311,"City skyline reflected in a pool of water, neon lights shimmering",low quality,2.5,butterfly,'cat'
677,IllusionAnimals_678,Swallows swooping low over tranquil pond,low quality,2.5,deer,'cat'
371,IllusionAnimals_372,A field of wild lupine flowers stretching out to the horizon,low quality,2.5,butterfly,'No illusion'
136,IllusionAnimals_137,Vintage carnival with Ferris wheel against twilight sky,low quality,2.5,dog,'No illusion'
962,IllusionAnimals_963,A sunny meadow with purple flowers and green grass,low quality,2.5,rooster,'elephant'
786,IllusionAnimals_787,A peaceful field with a wooden fence and blooming flowers,low quality,2.5,snake,'deer'
972,IllusionAnimals_973,"A majestic sunrise illuminates the mountains, casting long shadows over valleys below",low quality,2.5,rooster,'No illusion'
245,IllusionAnimals_246,A colorful hot air balloon floating over a patchwork landscape,low quality,2.5,pigeon,'Deer'
450,IllusionAnimals_451,Osprey dive-bombing for fish in wetlands,low quality,2.5,elephant,'pigeon'
628,IllusionAnimals_629,Cobbled street lined with ivy-clad buildings,low quality,2.5,deer,'cat'
384,IllusionAnimals_385,A charming cottage covered in ivy with a thatched roof,low quality,2.5,butterfly,'cat'
974,IllusionAnimals_975,A busy marketplace filled with colorful stalls,low quality,2.5,rooster,'fish'
