,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
0,illusion_char_0,A magnificent ice hotel made entirely of snow,low quality,1.5,a0c,"""a0c"""
1,illusion_char_1,A sunrise in the savanna,low quality,1.5,bGR3n,"""bGR3n"""
2,illusion_char_2,A whimsical forest glade with fairy circles and magical creatures,low quality,1.5,ilS,"""i is"""
3,illusion_char_3,Leopard lounging in tree branches,low quality,1.5,896F4,"""896F4"""
4,illusion_char_4,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,7pwB,"""7pwB"""
5,illusion_char_5,A green meadow with colorful flowers,low quality,1.5,YUV,"""YUV"""
6,illusion_char_6,A tranquil pond with lily pads and colorful koi fish,low quality,1.5,aQnU,"""aQnU"""
7,illusion_char_7,Eerie hospital corridor with shattered glass and flickering lights,low quality,1.5,MaNn8,"""MaNn8"""
8,illusion_char_8,"Silent mountains reflecting in a serene lake, sunlight filtering through falling leaves",low quality,1.5,lea6,"""lea6"""
9,illusion_char_9,A field of vibrant wildflowers under a clear blue sky,low quality,1.5,DnGYx,"""DnGYx"""
10,illusion_char_10,A lonely house on the moonlit hill,low quality,1.5,enHZ,"""enHZ"""
11,illusion_char_11,"Sunrise paints mountains golden, river meanders through valleys, birds sing in harmony",low quality,1.5,wXZ,"""WXZ"""
12,illusion_char_12,A quaint village nestled among rolling green hills,low quality,1.5,s7Yf,"""s7Yf"""
13,illusion_char_13,"Mountain sunlight paints meadow meadows, wildflowers bloom in vibrant hues, birds flutter freely",low quality,1.5,sR0e,"""sR0e"""
14,illusion_char_14,A snowy mountain peak reflecting the light of dawn,low quality,1.5,ndtS,"""ndtS"""
15,illusion_char_15,A snow-covered mountain peak piercing the clouds in a rugged wilderness,low quality,1.5,c5ar5,"""c5ar5"""
16,illusion_char_16,Vibrant sunset over tranquil beach,low quality,1.5,y09,"""y09"""
17,illusion_char_17,A festive holiday parade down Main Street,low quality,1.5,MraY,"""MraY"""
18,illusion_char_18,A desert with a lake in the middle,low quality,1.5,4OSW,"""40SW"""
19,illusion_char_19,"Neon city zoomed at night, palm trees reaching sky's edge",low quality,1.5,D93,"""D93"""
20,illusion_char_20,A grand castle perched atop a hill overlooking a medieval town,low quality,1.5,fleS,"The sequence of characters is ""fleS""."
21,illusion_char_21,A calm seashore with green seaweed and sand,low quality,1.5,ZkOKw,"""ZkOKw"""
22,illusion_char_22,A moonlit forest with fireflies dancing in the darkness,low quality,1.5,LnCQ,"""LncQ"""
23,illusion_char_23,A vintage biplane flying over a picturesque landscape,low quality,1.5,JAge,"""JAge"""
24,illusion_char_24,"Pulse of the city fades to sea, mountains rise in rhythmic sway, river meets the history",low quality,1.5,ccqix,"""ccqix"""
25,illusion_char_25,"Golden light teases mountain tops, river reflects rainbow hues, birds sing softly",low quality,1.5,CKjN,"""CKJN"""
26,illusion_char_26,A bustling city skyline at night with neon lights,low quality,1.5,Iha,"""Iha"""
27,illusion_char_27,A cozy cottage nestled in a snowy forest,low quality,1.5,6lVbt,"""61Vbt"""
28,illusion_char_28,A magical unicorn grazing in a lush meadow,low quality,1.5,nOjz0,"""noiz0"""
29,illusion_char_29,"Mist-covered mountains shrouded in ancient forest, sunlight filters through leaves",low quality,1.5,f3U8c,"""f3U8c"""
30,illusion_char_30,Colorful tents dotting a music festival campground,low quality,1.5,Lfs,"""Lfs"""
31,illusion_char_31,A picturesque vineyard at sunset with the sky painted in hues,low quality,1.5,RGnHM,"""RGnHM"""
32,illusion_char_32,A quaint seaside town with colorful fishing boats,low quality,1.5,vwd,"""wwvd"""
33,illusion_char_33,"Golden light meets distant shores, river meets ocean waves, birds sing on silent shores",low quality,1.5,rgDq,"""rgDq"""
34,illusion_char_34,"A modern city with skyscrapers, trees, and a river",low quality,1.5,5lrmd,"""5lrmd"""
35,illusion_char_35,A vast desert with a lone cactus,low quality,1.5,eH4,"""eH4"""
36,illusion_char_36,A futuristic city with skyscrapers and flying cars,low quality,1.5,72F,"""72F"""
37,illusion_char_37,A picturesque lighthouse standing watch over the sea,low quality,1.5,q3Udx,"""q3Udx"""
38,illusion_char_38,A peaceful lakeside campfire surrounded by friends and laughter,low quality,1.5,6CBRj,"""6CBRj"""
39,illusion_char_39,Forest of colossal mushrooms bathing the earth in bioluminescence,low quality,1.5,86Nyl,"""86Nyl"""
40,illusion_char_40,"A lone boat floating on a tranquil lake, surrounded by lush greenery",low quality,1.5,JkY,"""JkY"""
41,illusion_char_41,"Ancient forest meets rocky coast, waves crash in whisperings tones",low quality,1.5,SXz,"""SXz"""
42,illusion_char_42,"Starry sea reflects on metallic waves, futuristic city emerging from the depths",low quality,1.5,Dik,"""Dik"""
43,illusion_char_43,Colorful kites soaring freely in gentle wind,low quality,1.5,vJSDy,"""vJSdy"""
