,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
0,Mnist_1,A field of blooming sunflowers swaying in the wind,low quality,1.5,7,'digit 7'
1,Mnist_2,A peaceful countryside scene with grazing sheep and rolling hills,low quality,1.5,2,'digit 2'
2,Mnist_3,A tranquil pond with lily pads floating on the surface.,low quality,1.5,1,'digit 2'
3,Mnist_4,A sunny vineyard with rows of ripe grapes,low quality,1.5,0,'Digit 4'
4,Mnist_5,A picturesque vineyard at sunset with the sky painted in hues.,low quality,1.5,4,digit 3
5,Mnist_6,A bustling street market with vendors selling exotic spices and textiles.,low quality,1.5,1,'No illusion'
6,Mnist_7,A serene meadow covered in a blanket of wildflowers under the moonlight.,low quality,1.5,4,'digit 7'
7,Mnist_8,A field of blooming sunflowers swaying in the wind,low quality,1.5,9,'digit 7'
8,Mnist_9,A colorful hot air balloon floating over a patchwork landscape.,low quality,1.5,5,'digit 2'
9,Mnist_10,A charming cottage covered in ivy,low quality,1.5,9,'digit 2'
10,Mnist_11,A bustling city street filled with colorful shops and pedestrians.,low quality,1.5,0,No illusion
11,Mnist_12,A peaceful rural village nestled among rolling hills,low quality,1.5,6,'digit 2'
12,Mnist_13,A bustling harbor filled with fishing boats and seagulls,low quality,1.5,9,'No illusion'
13,Mnist_14,A secluded cabin nestled in a snowy forest,low quality,1.5,0,'digit 8'
14,Mnist_15,A futuristic cityscape illuminated by neon lights,low quality,1.5,1,'digit 1'
15,Mnist_16,A fog-enshrouded swamp filled with ominous croaks,low quality,1.5,5,‘Digit 2’
16,Mnist_17,A rugged canyon carved by a winding river,low quality,1.5,9,'digit 9'
17,Mnist_18,A winding desert road disappearing into the horizon,low quality,1.5,7,'digit 2'
18,Mnist_19,A tranquil pond with lily pads and colorful koi fish.,low quality,1.5,3,'digit 9'
19,Mnist_20,A quaint village nestled in the rolling green hills of the countryside.,low quality,1.5,4,'digit 1'
20,Mnist_21,A majestic iceberg floating in a frigid arctic sea.,low quality,1.5,9,'digit 2'
21,Mnist_22,An enchanting waterfall cascading into a crystal-clear pool below.,low quality,1.5,6,'digit 6'
22,Mnist_23,A tranquil park with a babbling brook,low quality,1.5,6,'digit 3'
23,Mnist_24,A serene countryside blanketed in a field of blooming lavender,low quality,1.5,5,No illusion
24,Mnist_25,A secret garden hidden behind a hidden door in a wall.,low quality,1.5,4,'digit 5'
25,Mnist_26,An alien landscape with strange rock formations and glowing plants.,low quality,1.5,0,'digit 7'
26,Mnist_27,A tranquil zen garden with raked sand and bonsai trees.,low quality,1.5,7,'digit 3'
27,Mnist_28,A magical underwater kingdom with colorful coral reefs and marine life.,low quality,1.5,4,No illusion
28,Mnist_29,A spooky graveyard with ancient headstones and gnarled trees.,low quality,1.5,0,'No illusion'
29,Mnist_30,A peaceful meadow filled with grazing deer,low quality,1.5,1,'digit 1'
30,Mnist_31,A rocky desert landscape with towering sand dunes and a blazing sun.,low quality,1.5,3,'digit 5'
31,Mnist_32,A traditional Japanese garden with a koi pond and cherry blossoms.,low quality,1.5,1,'No illusion'
32,Mnist_33,A majestic snow-capped mountain towering above a glacier,low quality,1.5,3,'No illusion'
33,Mnist_34,An icy tundra with a family of polar bears.,low quality,1.5,4,digit 3
34,Mnist_35,A majestic bridge spanning a wide river,low quality,1.5,7,'digit 7'
35,Mnist_36,A tropical island paradise with sandy beaches and crystal-clear waters.,low quality,1.5,2,'digit 2'
36,Mnist_37,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,7,'No illusion'
37,Mnist_38,Vibrant hot air balloons floating over green hills,low quality,1.5,1,'No illusion'
38,Mnist_39,"A foggy forest with twisting, moss-covered trees",low quality,1.5,2,'digit 4'
39,Mnist_40,A whimsical carousel spinning under a starry sky,low quality,1.5,1,'digit 1'
40,Mnist_41,A futuristic cityscape with flying cars and neon lights.,low quality,1.5,1,'digit 1'
41,Mnist_42,A vibrant marketplace with vendors selling exotic fruits and spices.,low quality,1.5,7,'digit 5'
42,Mnist_43,A whimsical garden filled with oversized flowers,low quality,1.5,4,'digit 7'
43,Mnist_44,A serene beach with a colorful sunset,low quality,1.5,2,'digit 2'
44,Mnist_45,A cozy fireplace crackling in a rustic log cabin,low quality,1.5,3,'digit 1'
45,Mnist_46,An enchanting waterfall cascading into a crystal-clear pool below.,low quality,1.5,5,'digit 3'
46,Mnist_47,A futuristic cityscape with flying cars and neon signs,low quality,1.5,1,No illusion
47,Mnist_48,A grand ballroom filled with elegant dancers in lavish attire.,low quality,1.5,2,'No illusion'
48,Mnist_49,A sandy desert dune illuminated by the golden light of sunset.,low quality,1.5,4,'digit 4'
49,Mnist_50,A vibrant field of wildflowers blowing in the wind,low quality,1.5,4,'digit 4'
50,Mnist_51,A serene mountain lake reflecting the snowy peaks above.,low quality,1.5,6,'digit 0'
51,Mnist_52,A majestic snow-capped mountain towering above a glacier,low quality,1.5,3,'digit 3'
52,Mnist_53,A futuristic space station orbiting a distant planet.,low quality,1.5,5,'digit 5'
53,Mnist_54,A bustling city street with neon lights and busy shops.,low quality,1.5,5,'digit 2'
54,Mnist_55,A futuristic cityscape illuminated by neon lights,low quality,1.5,6,'digit 6'
55,Mnist_56,A peaceful rural village nestled among rolling hills,low quality,1.5,0,digit 1
56,Mnist_57,A mysterious cave entrance hidden behind a waterfall,low quality,1.5,4,'No illusion'
57,Mnist_58,A spooky graveyard under a full moon,low quality,1.5,1,'digit 1'
58,Mnist_59,A picturesque seaside village with colorful fishing boats,low quality,1.5,9,No illusion
59,Mnist_60,A rustic barn surrounded by rolling fields of sunflowers.,low quality,1.5,5,'No illusion'
60,Mnist_61,A secret garden hidden behind a hidden door in a wall.,low quality,1.5,7,'digit 7'
61,Mnist_62,A moonlit beach with crashing waves and a star-filled sky.,low quality,1.5,8,'digit 8'
62,Mnist_63,A mystical cave illuminated by glowing crystals,low quality,1.5,9,'digit 9'
63,Mnist_64,A tranquil Zen garden with raked sand and stone sculptures,low quality,1.5,3,'digit 2'
64,Mnist_65,A magical underwater kingdom with colorful coral reefs and marine life.,low quality,1.5,7,No illusion
65,Mnist_66,A serene meadow dotted with blooming wildflowers,low quality,1.5,4,'digit 1'
66,Mnist_67,A bustling marketplace filled with exotic spices and fabrics,low quality,1.5,6,No illusion
67,Mnist_68,A mystical moonlit forest with glowing fireflies and unseen creatures,low quality,1.5,4,'digit 5'
68,Mnist_69,A futuristic space station orbiting a distant planet.,low quality,1.5,3,'digit 8'
69,Mnist_70,A bustling city street with neon lights and busy shops.,low quality,1.5,0,'digit 8'
70,Mnist_71,A bustling harbor with ships coming and going.,low quality,1.5,7,'digit 7'
71,Mnist_72,A colorful hot air balloon floating over a patchwork landscape.,low quality,1.5,0,No illusion
72,Mnist_73,A tranquil pond with lily pads and colorful koi fish.,low quality,1.5,2,'digit 3'
73,Mnist_74,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,9,'digit 6'
74,Mnist_75,A serene waterfall hidden deep in a dense forest.,low quality,1.5,1,digit 1
75,Mnist_76,A field of lavender with bees buzzing around the fragrant flowers.,low quality,1.5,7,'digit 7'
76,Mnist_77,A majestic waterfall plunging into a misty abyss,low quality,1.5,3,'digit 8'
77,Mnist_78,A lush vineyard stretching over rolling hills.,low quality,1.5,2,'digit 2'
78,Mnist_79,A misty forest clearing with sunlight filtering through the canopy.,low quality,1.5,9,'No illusion'
79,Mnist_80,A majestic iceberg floating in a frigid arctic sea.,low quality,1.5,7,'digit 7'
80,Mnist_81,A mystical forest enchanted by swirling mist,low quality,1.5,7,'No illusion'
81,Mnist_82,A misty morning in a foggy forest with dew-covered leaves.,low quality,1.5,6,'No illusion'
82,Mnist_83,A majestic aurora borealis dancing across the night sky,low quality,1.5,2,'digit 2'
83,Mnist_84,A field of sunflowers stretching as far as the eye can see.,low quality,1.5,7,'digit 3'
84,Mnist_85,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,8,'No illusion'
85,Mnist_86,"A foggy forest with twisting, moss-covered trees",low quality,1.5,4,'digit 2'
86,Mnist_87,A bustling city street filled with colorful shops and pedestrians.,low quality,1.5,7,'No illusion'
87,Mnist_88,A rocky desert landscape with cacti and tumbleweeds,low quality,1.5,3,'digit 2'
88,Mnist_89,A lunar landscape with barren craters and mountains silhouetted against the sky.,low quality,1.5,6,'digit 6'
89,Mnist_90,A sunflower maze stretching as far as the eye can see.,low quality,1.5,1,No illusion
90,Mnist_91,A peaceful countryside scene with grazing sheep and rolling hills,low quality,1.5,3,'digit 2'
91,Mnist_92,A moonlit beach with gentle waves lapping at the shore,low quality,1.5,6,'digit 6'
92,Mnist_93,A charming cottage covered in ivy with a thatched roof.,low quality,1.5,9,'Digit 4'
93,Mnist_94,A starlit sky above a tranquil lake reflecting the moon,low quality,1.5,3,'digit 2'
94,Mnist_95,A tranquil lake surrounded by towering trees,low quality,1.5,1,'digit 1'
95,Mnist_96,A traditional Japanese garden with a koi pond and cherry blossoms.,low quality,1.5,4,'digit 9'
96,Mnist_97,A starry night sky with the Milky Way stretching across.,low quality,1.5,1,'digit 5'
97,Mnist_98,A picturesque seaside village with colorful fishing boats,low quality,1.5,7,'No illusion'
