image_name,Pprompt,Nprompt,illusion_strength,label,LLaVa_IllusionAnimals_ill_images,LLaVa_IllusionAnimals_illusion_images_filtered,LLaVa_IllusionAnimals_illusionless_images,LLaVa_IllusionAnimals_illusionless_images_filtered,LLaVa_IllusionAnimals_raw_images
IllusionAnimals_1,A raging river flowing through a dense jungle at the base of mountains,low quality,2.5,cat, snake, cat, fish, No illusion, cat
IllusionAnimals_2,A starry night sky over a tranquil lake,low quality,2.5,cat, pigeon, cat, fish, snake, cat
IllusionAnimals_3,Jaguar (Panthera Onca) patrolling South American wetlands edge,low quality,2.5,cat, cat, cat, cat, cat, cat
IllusionAnimals_4,"Flowing lava illuminates cavern walls, ancient hieroglyphs etched into rock",low quality,2.5,cat, dog, dog, No illusion, No illusion, cat
IllusionAnimals_5,"Dense forest canopy, sunlight filters through, river winds through valleys",low quality,2.5,cat, cat, cat, cat, snake, cat
IllusionAnimals_6,A whimsical carnival with colorful tents and a merry-go-round,low quality,2.5,cat, cat, cat, No illusion, No illusion, cat
IllusionAnimals_7,"Gentle waves crash against sandy shores, moonlight reflects on sparkling water",low quality,2.5,cat, fish, cat, No illusion, No illusion, cat
IllusionAnimals_8,"A lone astronaut adrift in the stars, constellations forming a path",low quality,2.5,cat, pigeon, cat, No illusion, cat, cat
IllusionAnimals_9,A serene meadow with colorful wildflowers,low quality,2.5,cat, butterfly, cat, No illusion, No illusion, cat
IllusionAnimals_10,"Ancient cave entrance, stalactites glow, sunlight filters through dusty air",low quality,2.5,cat, snake, cat, No illusion, snake, cat
IllusionAnimals_11,A lone sailboat drifting peacefully on calm waters,low quality,2.5,cat, fish, cat, snake, fish, cat
IllusionAnimals_12,A vibrant music festival brimming with energy,low quality,2.5,cat, dog, cat, No illusion, dog, cat
IllusionAnimals_13,Zebras galloping gracefully,low quality,2.5,cat, horse, cat, horse, horse, cat
IllusionAnimals_14,A spooky haunted house on a hill,low quality,2.5,cat, dog, cat, cat, cat, cat
