,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
66,Mnist_67,A bustling marketplace filled with exotic spices and fabrics,low quality,1.5,6,'digit 5'
878,Mnist_879,Sandy dunes meet turquoise seas under a stormy sky,low quality,1.5,8,'No illusion'
988,Mnist_989,"A cascading waterfall illuminates the canyon with glowing light, shadow dancing over rocks",low quality,1.5,1,'digit 3'
30,Mnist_31,A rocky desert landscape with towering sand dunes and a blazing sun.,low quality,1.5,3,'digit 2'
422,Mnist_423,A sunset by the mountains,low quality,1.5,9,'digit 3'
947,Mnist_948,Swirling vortex of light and shadows over a deserted city,low quality,1.5,8,'digit 2'
1006,Mnist_1007,Sea turtle laying eggs on moonlit beach,low quality,1.5,7,'digit 8'
568,Mnist_569,A peaceful sunset over the lake with mountains and trees,low quality,1.5,6,'digit 7'
328,Mnist_329,"Whipped cream dream swirls around ballerina, city lights twinkle like stars",low quality,1.5,7,'digit 5'
70,Mnist_71,A bustling harbor with ships coming and going.,low quality,1.5,7,'digit 3'
1066,Mnist_1067,Osprey dive-bombing for fish in wetlands,low quality,1.5,0,'digit 5'
1003,Mnist_1004,"Sun sets over volcanic mountains, glowing lava reflects on river surface",low quality,1.5,5,'digit 2'
671,Mnist_672,"Silent mountains reflecting in a serene lake, sunlight filtering through falling leaves",low quality,1.5,9,'No illusion'
155,Mnist_156,A serene lake surrounded by lush green forests,low quality,1.5,5,'digit 9'
511,Mnist_512,Leopard lounging in tree branches,low quality,1.5,4,digit 3
739,Mnist_740,A cozy cafe with steaming cups of coffee and pastries,low quality,1.5,5,'No illusion'
91,Mnist_92,A moonlit beach with gentle waves lapping at the shore,low quality,1.5,6,digit 8
860,Mnist_861,"Ancient temple engulfed by dense, dark jungle",low quality,1.5,6,'digit 0'
284,Mnist_285,A field of sunflowers stretching as far as the eye can see,low quality,1.5,9,'digit 8'
727,Mnist_728,A colorful meadow with a flowing river and vibrant hot air balloons,low quality,1.5,3,'digit 9'
781,Mnist_782,A rocky desert landscape with cacti and tumbleweeds,low quality,1.5,8,'No illusion'
862,Mnist_863,A lush tropical rainforest echoing with the sounds of wildlife,low quality,1.5,9,'digit 2'
580,Mnist_581,"Spiral staircase ascends tree-covered hill, sunlight filters through leaves in golden rays",low quality,1.5,8,'digit 3'
537,Mnist_538,Rhinos charging through savannah,low quality,1.5,1,'digit 8'
935,Mnist_936,A serene lake reflecting the fiery colors of a setting sun,low quality,1.5,5,'digit 2'
357,Mnist_358,A winding river snaking through a lush green landscape,low quality,1.5,1,'digit 2'
620,Mnist_621,"A vibrant forest glows with bioluminescent light, revealing glowing mushrooms and paths",low quality,1.5,0,'digit 9'
742,Mnist_743,A girl with a cat and a dog in front of a beach,low quality,1.5,0,'digit 8'
272,Mnist_273,Colorful tents dotting a music festival campground,low quality,1.5,1,No illusion
490,Mnist_491,Cougar (Puma) surveying territory from lofty vantage point,low quality,1.5,0,'digit 9'
900,Mnist_901,A tranquil zen garden with raked sand and bonsai trees,low quality,1.5,1,'No illusion'
768,Mnist_769,A girl with brown hair wearing a black dress standing in a field of flowers,low quality,1.5,1,'No illusion'
90,Mnist_91,A peaceful countryside scene with grazing sheep and rolling hills,low quality,1.5,3,'No illusion'
8,Mnist_9,A colorful hot air balloon floating over a patchwork landscape.,low quality,1.5,5,'No illusion'
482,Mnist_483,A futuristic city with flying cars and towering skyscrapers,low quality,1.5,7,'digit 8'
274,Mnist_275,An otherworldly aurora borealis dancing in the night sky,low quality,1.5,9,'digit 1'
399,Mnist_400,A peaceful summer night countryside landscape with sunflowers,low quality,1.5,4,'digit 8'
1098,Mnist_1099,"Whipped cream clouds engulf castle ruins, sunlight pierces through gaps in stone",low quality,1.5,5,'digit 9'
749,Mnist_750,"Ancient trees reach for the stars, sunlight filters through branches, river flows silently",low quality,1.5,1,'No illusion'
491,Mnist_492,A sunny meadow with purple flowers and green grass,low quality,1.5,5,'digit 3'
643,Mnist_644,Two friends hiking on a mountain during sunset,low quality,1.5,2,'digit 6'
922,Mnist_923,"Crystal river cuts through granite canyon, sunlight reflects off water, rainbow emerges",low quality,1.5,2,No illusion
892,Mnist_893,A tranquil lake surrounded by snow-capped mountains,low quality,1.5,2,No illusion
962,Mnist_963,A winter wonderland of sparkling snowflakes,low quality,1.5,9,'digit 9'
133,Mnist_134,A snow-covered mountain peak piercing the clouds in a rugged wilderness.,low quality,1.5,7,'digit 8'
664,Mnist_665,"A vibrant sunset paints the desert landscape, casting long shadows over the towering dunes",low quality,1.5,8,'digit 2'
1027,Mnist_1028,"Glowing fungi illuminate cavern entrance, vines draped like curtains inside",low quality,1.5,1,'digit 9'
320,Mnist_321,Soothing willow tree weeping delicately,low quality,1.5,9,'digit 4'
459,Mnist_460,A victorian-era tea party set in idyllic countryside,low quality,1.5,0,'No illusion'
845,Mnist_846,Tranquil lake in a forest with snow capped mountains,low quality,1.5,0,'digit 3'
488,Mnist_489,A spaceship flying through a wormhole,low quality,1.5,9,'digit 0'
75,Mnist_76,A field of lavender with bees buzzing around the fragrant flowers.,low quality,1.5,7,No illusion
65,Mnist_66,A serene meadow dotted with blooming wildflowers,low quality,1.5,4,No illusion
1017,Mnist_1018,A dark alleyway with neon lights and graffiti,low quality,1.5,6,'digit 8'
616,Mnist_617,A field of sunflowers with bees collecting pollen from the blooms,low quality,1.5,9,'No illusion'
147,Mnist_148,A snowy mountain peak reflecting the light of dawn,low quality,1.5,2,'digit 3'
1092,Mnist_1093,A quaint village covered in a blanket of snow,low quality,1.5,6,'No illusion'
165,Mnist_166,A serene meadow covered in a blanket of wildflowers under the moonlight.,low quality,1.5,5,No illusion
306,Mnist_307,A sunset at the ocean with a palm tree,low quality,1.5,2,No illusion
787,Mnist_788,A historical monument honoring great leaders,low quality,1.5,8,'digit 3'
766,Mnist_767,Morning dew droplets hanging on spider web,low quality,1.5,5,'digit 8'
