image_name,label,raw_answer,ill_answer,ill_less_answer,ill_filtered_answer,ill_less_filtered_answer
Mnist_1,7,<p>digit 7</p> {<20><24><80><,illusion digit 8,no illusion digit,illusion digit 7,illusion digit 0
Mnist_2,2,<p>digit 2</p> {<27><10><96><,illusion digit 1,illusion digit 1,illusion digit 2,illusion digit 0
Mnist_3,1,<p>digit 1</p> {<37><12><67><,illusion digit 8,no illusion digit,no illusion digit,no illusion digit
Mnist_4,0,<p>digit 5</p> {<36><14><63><,no illusion digit,illusion digit 5,no illusion digit,illusion digit 5
Mnist_5,4,<p>digit 4</p> {<22><13><77><,illusion digit 5,illusion digit 5,illusion digit 5,illusion digit 5
Mnist_6,1,<p>digit 1</p> {<37><16><69><,illusion digit 8,no illusion digit,no illusion digit,no illusion digit
Mnist_7,4,<p>digit 4</p> {<20><16><83><,illusion digit 5,illusion digit 8,illusion digit 1,illusion digit 5
Mnist_8,9,<p>digit 8</p> {<29><20><83><,no illusion digit,no illusion digit,no illusion digit,illusion digit 0
Mnist_9,5,<p>digit 8</p> {<16><10><92><,no illusion digit,illusion digit 5,no illusion digit,no illusion digit
Mnist_10,9,<p>digit 9</p> {<21><25><84><,illusion digit 8,illusion digit 8,illusion digit 9,illusion digit 1
Mnist_11,0,<p>digit 0</p> {<23><13><83><,no illusion digit,no illusion digit,illusion digit 0,no illusion digit
Mnist_12,6,<p>digit 8</p> {<23><10><86><,illusion digit 5,no illusion digit,no illusion digit,illusion digit 8
Mnist_13,9,<p>digit 9</p> {<27><22><78><,illusion digit 8,no illusion digit,illusion digit 9,illusion digit 8
Mnist_14,0,<p>digit 0</p> {<24><14><81><,illusion digit 0,no illusion digit,illusion digit 8,illusion digit 0
Mnist_15,1,<p>digit 1</p> {<41><13><61><,illusion digit 8,illusion digit 5,no illusion digit,illusion digit 1
Mnist_16,5,<p>digit 5</p> {<26><12><88><,illusion digit 0,illusion digit 5,no illusion digit,no illusion digit
Mnist_17,9,<p>digit 9</p> {<21><19><78><,illusion digit 5,illusion digit 5,illusion digit 9,no illusion digit
Mnist_18,7,<p>digit 7</p> {<15><23><80><,illusion digit 7,illusion digit 8,no illusion digit,no illusion digit
Mnist_19,3,<p>digit 3</p> {<16><14><89><,illusion digit 8,illusion digit 5,no illusion digit,illusion digit 5
Mnist_20,4,<p>digit 4</p> {<27><16><74><,illusion digit 8,illusion digit 8,illusion digit 4,no illusion digit
Mnist_21,9,<p>digit 9</p> {<28><21><79><,illusion digit 1,illusion digit 8,illusion digit 9,no illusion digit
Mnist_22,6,<p>digit 6</p> {<30><9><77><8,no illusion digit,no illusion digit,illusion digit 5,no illusion digit
Mnist_23,6,<p>digit 8</p> {<24><10><81><,illusion digit 5,no illusion digit,illusion digit 8,no illusion digit
Mnist_24,5,<p>digit 5</p> {<24><14><91><,no illusion digit,no illusion digit,no illusion digit,illusion digit 0
Mnist_25,4,<p>digit 4</p> {<23><14><76><,illusion digit 5,illusion digit 5,illusion digit 4,no illusion digit
Mnist_26,0,<p>digit 5</p> {<16><16><89><,no illusion digit,illusion digit 5,no illusion digit,no illusion digit
Mnist_27,7,digit 7,illusion digit 5,no illusion digit,illusion digit 5,no illusion digit
Mnist_28,4,<p>digit 4</p> {<22><14><77><,<p>no illusion digit</p> {<27><11><76,illusion digit 0,illusion digit 4,no illusion digit
Mnist_29,0,<p>digit 5</p> {<28><16><78><,illusion digit 0,illusion digit 0,illusion digit 8,illusion digit 0
Mnist_30,1,<p>digit 5</p> {<40><13><60><,illusion digit 5,no illusion digit,no illusion digit,illusion digit 5
Mnist_31,3,digit 3,illusion digit 0,no illusion digit,no illusion digit,no illusion digit
Mnist_32,1,<p>digit 5</p> {<42><16><63><,illusion digit 5,no illusion digit,no illusion digit,illusion digit 0
Mnist_33,3,<p>digit 3</p> {<22><15><77><,illusion digit 1,illusion digit 0,illusion digit 3,no illusion digit
