Unnamed: 0,dataset,image_name,user_label,true_label,age,gender,user_validation
0.0,MNIST,Mnist_1100,8,8,23,Female,yes
1.0,MNIST,Mnist_620,1,1,23,Female,yes
2.0,MNIST,Mnist_741,4,4,23,Female,yes
3.0,MNIST,Mnist_245,4,2,23,Female,yes
4.0,MNIST,Mnist_412,7,7,23,Female,yes
5.0,MNIST,Mnist_1071,9,9,23,Female,yes
6.0,MNIST,Mnist_319,6,2,23,Female,no
7.0,MNIST,less_Mnist_1066,no illusion,no illusion,23,Female,yes
8.0,MNIST,Mnist_65,7,7,23,Female,yes
9.0,MNIST,Mnist_12,6,6,23,Female,yes
10.0,MNIST,Mnist_616,1,1,23,Female,yes
11.0,MNIST,Mnist_968,1,1,23,Female,yes
12.0,MNIST,Mnist_591,3,3,23,Female,yes
13.0,MNIST,Mnist_1088,5,5,23,Female,yes
14.0,MNIST,Mnist_921,1,1,23,Female,yes
15.0,MNIST,Mnist_385,6,6,23,Female,yes
16.0,MNIST,Mnist_1085,0,5,23,Female,yes
17.0,MNIST,Mnist_982,0,0,23,Female,yes
18.0,MNIST,Mnist_898,5,5,23,Female,yes
19.0,MNIST,Mnist_810,1,1,23,Female,yes
20.0,MNIST,Mnist_28,4,4,23,Female,yes
21.0,MNIST,Mnist_674,9,9,23,Female,yes
22.0,MNIST,Mnist_602,8,8,23,Female,yes
23.0,MNIST,Mnist_178,8,8,23,Female,yes
24.0,MNIST,Mnist_180,8,8,23,Female,yes
25.0,MNIST,Mnist_565,0,0,23,Female,yes
26.0,MNIST,Mnist_443,3,3,23,Female,yes
27.0,MNIST,Mnist_695,5,5,23,Female,yes
28.0,MNIST,Mnist_828,4,4,23,Female,yes
29.0,MNIST,less_Mnist_338,no illusion,no illusion,23,Female,yes
30.0,MNIST,Mnist_929,9,9,23,Female,yes
31.0,MNIST,Mnist_362,6,6,23,Female,yes
32.0,MNIST,Mnist_17,9,9,23,Female,yes
33.0,MNIST,Mnist_979,5,5,23,Female,yes
34.0,MNIST,Mnist_530,1,1,23,Female,yes
35.0,MNIST,less_Mnist_66,no illusion,no illusion,23,Female,yes
36.0,MNIST,less_Mnist_923,no illusion,no illusion,23,Female,yes
37.0,MNIST,Mnist_1103,6,6,23,Female,yes
38.0,MNIST,Mnist_775,4,4,23,Female,yes
39.0,MNIST,Mnist_679,9,9,23,Female,yes
40.0,MNIST,Mnist_746,1,1,23,Female,yes
41.0,MNIST,Mnist_1015,6,6,23,Female,yes
42.0,MNIST,Mnist_299,2,2,23,Female,yes
43.0,MNIST,Mnist_338,2,7,23,Female,yes
44.0,MNIST,Mnist_801,8,8,23,Female,yes
45.0,MNIST,Mnist_983,3,3,23,Female,yes
46.0,MNIST,Mnist_488,9,9,23,Female,yes
47.0,MNIST,less_Mnist_1099,no illusion,no illusion,23,Female,yes
48.0,MNIST,Mnist_796,3,3,23,Female,yes
49.0,MNIST,Mnist_677,7,7,23,Female,yes
50.0,MNIST,Mnist_272,0,0,23,Female,yes
51.0,MNIST,Mnist_822,0,0,23,Female,yes
52.0,MNIST,Mnist_173,2,2,23,Female,yes
53.0,MNIST,Mnist_388,2,2,23,Female,yes
54.0,MNIST,Mnist_758,4,4,23,Female,yes
55.0,MNIST,Mnist_665,8,8,23,Female,yes
56.0,MNIST,Mnist_110,4,4,23,Female,yes
57.0,MNIST,Mnist_277,1,1,23,Female,yes
58.0,MNIST,Mnist_23,6,6,23,Female,yes
59.0,MNIST,Mnist_300,8,8,23,Female,yes
60.0,MNIST,Mnist_189,0,0,23,Female,yes
61.0,MNIST,Mnist_859,2,2,23,Female,yes
62.0,MNIST,Mnist_794,8,8,23,Female,yes
63.0,MNIST,Mnist_223,2,2,23,Female,yes
64.0,MNIST,Mnist_632,8,8,23,Female,yes
65.0,MNIST,Mnist_53,5,5,23,Female,yes
66.0,MNIST,Mnist_301,4,4,23,Female,yes
67.0,MNIST,Mnist_838,2,2,23,Female,yes
68.0,MNIST,Mnist_680,7,7,23,Female,yes
69.0,MNIST,Mnist_229,1,1,23,Female,yes
70.0,MNIST,Mnist_1012,1,1,23,Female,yes
71.0,MNIST,less_Mnist_989,no illusion,no illusion,23,Female,yes
