,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
0,Mnist_1,A field of blooming sunflowers swaying in the wind,low quality,1.5,7,digit 7
1,Mnist_2,A peaceful countryside scene with grazing sheep and rolling hills,low quality,1.5,2,error
2,Mnist_3,A tranquil pond with lily pads floating on the surface.,low quality,1.5,1,error
3,Mnist_4,A sunny vineyard with rows of ripe grapes,low quality,1.5,0,error
4,Mnist_5,A picturesque vineyard at sunset with the sky painted in hues.,low quality,1.5,4,error
5,Mnist_6,A bustling street market with vendors selling exotic spices and textiles.,low quality,1.5,1,'digit 1'
6,Mnist_7,A serene meadow covered in a blanket of wildflowers under the moonlight.,low quality,1.5,4,error
7,Mnist_8,A field of blooming sunflowers swaying in the wind,low quality,1.5,9,error
8,Mnist_9,A colorful hot air balloon floating over a patchwork landscape.,low quality,1.5,5,error
9,Mnist_10,A charming cottage covered in ivy,low quality,1.5,9,error
10,Mnist_11,A bustling city street filled with colorful shops and pedestrians.,low quality,1.5,0,error
11,Mnist_12,A peaceful rural village nestled among rolling hills,low quality,1.5,6,error
12,Mnist_13,A bustling harbor filled with fishing boats and seagulls,low quality,1.5,9,error
13,Mnist_14,A secluded cabin nestled in a snowy forest,low quality,1.5,0,error
14,Mnist_15,A futuristic cityscape illuminated by neon lights,low quality,1.5,1,'digit 1'
15,Mnist_16,A fog-enshrouded swamp filled with ominous croaks,low quality,1.5,5,error
16,Mnist_17,A rugged canyon carved by a winding river,low quality,1.5,9,error
17,Mnist_18,A winding desert road disappearing into the horizon,low quality,1.5,7,error
18,Mnist_19,A tranquil pond with lily pads and colorful koi fish.,low quality,1.5,3,error
19,Mnist_20,A quaint village nestled in the rolling green hills of the countryside.,low quality,1.5,4,error
20,Mnist_21,A majestic iceberg floating in a frigid arctic sea.,low quality,1.5,9,error
21,Mnist_22,An enchanting waterfall cascading into a crystal-clear pool below.,low quality,1.5,6,error
22,Mnist_23,A tranquil park with a babbling brook,low quality,1.5,6,error
23,Mnist_24,A serene countryside blanketed in a field of blooming lavender,low quality,1.5,5,error
24,Mnist_25,A secret garden hidden behind a hidden door in a wall.,low quality,1.5,4,error
25,Mnist_26,An alien landscape with strange rock formations and glowing plants.,low quality,1.5,0,error
26,Mnist_27,A tranquil zen garden with raked sand and bonsai trees.,low quality,1.5,7,error
27,Mnist_28,A magical underwater kingdom with colorful coral reefs and marine life.,low quality,1.5,4,error
28,Mnist_29,A spooky graveyard with ancient headstones and gnarled trees.,low quality,1.5,0,error
29,Mnist_30,A peaceful meadow filled with grazing deer,low quality,1.5,1,error
30,Mnist_31,A rocky desert landscape with towering sand dunes and a blazing sun.,low quality,1.5,3,error
31,Mnist_32,A traditional Japanese garden with a koi pond and cherry blossoms.,low quality,1.5,1,error
32,Mnist_33,A majestic snow-capped mountain towering above a glacier,low quality,1.5,3,error
33,Mnist_34,An icy tundra with a family of polar bears.,low quality,1.5,4,error
34,Mnist_35,A majestic bridge spanning a wide river,low quality,1.5,7,'digit 7'
35,Mnist_36,A tropical island paradise with sandy beaches and crystal-clear waters.,low quality,1.5,2,error
36,Mnist_37,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,7,error
37,Mnist_38,Vibrant hot air balloons floating over green hills,low quality,1.5,1,'digit 1'
38,Mnist_39,"A foggy forest with twisting, moss-covered trees",low quality,1.5,2,error
39,Mnist_40,A whimsical carousel spinning under a starry sky,low quality,1.5,1,error
40,Mnist_41,A futuristic cityscape with flying cars and neon lights.,low quality,1.5,1,error
41,Mnist_42,A vibrant marketplace with vendors selling exotic fruits and spices.,low quality,1.5,7,error
