image_name,Pprompt,Nprompt,illusion_strength,label,raw_answer,ill_answer,illless_answer,ill_fliter_answer,illless_filter_answer
Mnist_1,A field of blooming sunflowers swaying in the wind,low quality,1.5,7,The number 7,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_2,A peaceful countryside scene with grazing sheep and rolling hills,low quality,1.5,2,The class is 'digits'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_3,A tranquil pond with lily pads floating on the surface.,low quality,1.5,1,"The image shows a white outline of a digit 0, a digit 1 and a digit 2.",digit 0,digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_4,A sunny vineyard with rows of ripe grapes,low quality,1.5,0,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_5,A picturesque vineyard at sunset with the sky painted in hues.,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_6,A bustling street market with vendors selling exotic spices and textiles.,low quality,1.5,1,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_7,A serene meadow covered in a blanket of wildflowers under the moonlight.,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_8,A field of blooming sunflowers swaying in the wind,low quality,1.5,9,The image shows a key with a keyhole in it.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_9,A colorful hot air balloon floating over a patchwork landscape.,low quality,1.5,5,The image shows a white outline of a person with a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_10,A charming cottage covered in ivy,low quality,1.5,9,The digit 7,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_11,A bustling city street filled with colorful shops and pedestrians.,low quality,1.5,0,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_12,A peaceful rural village nestled among rolling hills,low quality,1.5,6,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_13,A bustling harbor filled with fishing boats and seagulls,low quality,1.5,9,The digit is 'digit','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_14,A secluded cabin nestled in a snowy forest,low quality,1.5,0,The class is 'digits','No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_15,A futuristic cityscape illuminated by neon lights,low quality,1.5,1,The letter 'I','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_16,A fog-enshrouded swamp filled with ominous croaks,low quality,1.5,5,The class is 'digits','No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_17,A rugged canyon carved by a winding river,low quality,1.5,9,The class is 'digits','No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_18,A winding desert road disappearing into the horizon,low quality,1.5,7,The digit 7,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_19,A tranquil pond with lily pads and colorful koi fish.,low quality,1.5,3,The image shows a racing track with a white outline of a racing car on a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_20,A quaint village nestled in the rolling green hills of the countryside.,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_21,A majestic iceberg floating in a frigid arctic sea.,low quality,1.5,9,The image shows a black and white image of a number '7'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_22,An enchanting waterfall cascading into a crystal-clear pool below.,low quality,1.5,6,The number 6,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_23,A tranquil park with a babbling brook,low quality,1.5,6,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_24,A serene countryside blanketed in a field of blooming lavender,low quality,1.5,5,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_25,A secret garden hidden behind a hidden door in a wall.,low quality,1.5,4,The digit '0' is in a circle,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_26,An alien landscape with strange rock formations and glowing plants.,low quality,1.5,0,The image shows a spiral shape.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_27,A tranquil zen garden with raked sand and bonsai trees.,low quality,1.5,7,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_28,A magical underwater kingdom with colorful coral reefs and marine life.,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_29,A spooky graveyard with ancient headstones and gnarled trees.,low quality,1.5,0,"The image shows a white digit 0, a white number 1 and a white 'digit' 2.",digit 0,digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_30,A peaceful meadow filled with grazing deer,low quality,1.5,1,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_31,A rocky desert landscape with towering sand dunes and a blazing sun.,low quality,1.5,3,The digit is a number,digit 0,'No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_32,A traditional Japanese garden with a koi pond and cherry blossoms.,low quality,1.5,1,"A class is a group of objects that share a common characteristic, such as shape, size, or color.",'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_33,A majestic snow-capped mountain towering above a glacier,low quality,1.5,3,The digit is a number,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_34,An icy tundra with a family of polar bears.,low quality,1.5,4,The image shows a digit 0.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_35,A majestic bridge spanning a wide river,low quality,1.5,7,The digit 7 is in a class of 'digits'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_36,A tropical island paradise with sandy beaches and crystal-clear waters.,low quality,1.5,2,The digit is a digit,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_37,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,7,The digit '0' is in a class of 'digits'.,digit 0,'No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_38,Vibrant hot air balloons floating over green hills,low quality,1.5,1,The image shows a black background with a white digit 0 in the middle.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_39,"A foggy forest with twisting, moss-covered trees",low quality,1.5,2,The digit 0 is a zero.,digit 0,digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_40,A whimsical carousel spinning under a starry sky,low quality,1.5,1,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_41,A futuristic cityscape with flying cars and neon lights.,low quality,1.5,1,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_42,A vibrant marketplace with vendors selling exotic fruits and spices.,low quality,1.5,7,The digit is a digit,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_43,A whimsical garden filled with oversized flowers,low quality,1.5,4,The digit '0' is in a group of numbers.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_44,A serene beach with a colorful sunset,low quality,1.5,2,The letter 'L','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_45,A cozy fireplace crackling in a rustic log cabin,low quality,1.5,3,Snake,'No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_46,An enchanting waterfall cascading into a crystal-clear pool below.,low quality,1.5,5,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_47,A futuristic cityscape with flying cars and neon signs,low quality,1.5,1,"A class is a group of objects that share a common characteristic, such as shape, size, or color.",'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_48,A grand ballroom filled with elegant dancers in lavish attire.,low quality,1.5,2,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_49,A sandy desert dune illuminated by the golden light of sunset.,low quality,1.5,4,The digit is a number,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_50,A vibrant field of wildflowers blowing in the wind,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_51,A serene mountain lake reflecting the snowy peaks above.,low quality,1.5,6,The digit is a number,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_52,A majestic snow-capped mountain towering above a glacier,low quality,1.5,3,The image shows a number of numbers.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_53,A futuristic space station orbiting a distant planet.,low quality,1.5,5,The digit is a number,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_54,A bustling city street with neon lights and busy shops.,low quality,1.5,5,The number 5,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_55,A futuristic cityscape illuminated by neon lights,low quality,1.5,6,The image shows a spiral,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_56,A peaceful rural village nestled among rolling hills,low quality,1.5,0,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_57,A mysterious cave entrance hidden behind a waterfall,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_58,A spooky graveyard under a full moon,low quality,1.5,1,The digit is a digit,'No Hidden Digit','No Hidden Digit','No Hidden Digit',digit 0
Mnist_59,A picturesque seaside village with colorful fishing boats,low quality,1.5,9,The digit is a number,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_60,A rustic barn surrounded by rolling fields of sunflowers.,low quality,1.5,5,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_61,A secret garden hidden behind a hidden door in a wall.,low quality,1.5,7,"A class is a group of objects that share a common characteristic, such as a shape, color, or size.",'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_62,A moonlit beach with crashing waves and a star-filled sky.,low quality,1.5,8,The class is 'digits','No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_63,A mystical cave illuminated by glowing crystals,low quality,1.5,9,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_64,A tranquil Zen garden with raked sand and stone sculptures,low quality,1.5,3,The image shows a white outline of a digit 0,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_65,A magical underwater kingdom with colorful coral reefs and marine life.,low quality,1.5,7,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_66,A serene meadow dotted with blooming wildflowers,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_67,A bustling marketplace filled with exotic spices and fabrics,low quality,1.5,6,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_68,A mystical moonlit forest with glowing fireflies and unseen creatures,low quality,1.5,4,"A class is a group of objects that share a common characteristic, such as a shape, color, or size.",'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_69,A futuristic space station orbiting a distant planet.,low quality,1.5,3,The snake is in a class of 'digits'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
