,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
0,IllusionAnimals_1,A raging river flowing through a dense jungle at the base of mountains,low quality,2.5,cat,cat
1,IllusionAnimals_2,A starry night sky over a tranquil lake,low quality,2.5,cat,Cat
2,IllusionAnimals_3,Jaguar (Panthera Onca) patrolling South American wetlands edge,low quality,2.5,cat,Cat
3,IllusionAnimals_4,"Flowing lava illuminates cavern walls, ancient hieroglyphs etched into rock",low quality,2.5,cat,cat
4,IllusionAnimals_5,"Dense forest canopy, sunlight filters through, river winds through valleys",low quality,2.5,cat,cat
5,IllusionAnimals_6,A whimsical carnival with colorful tents and a merry-go-round,low quality,2.5,cat,cat
6,IllusionAnimals_7,"Gentle waves crash against sandy shores, moonlight reflects on sparkling water",low quality,2.5,cat,cat
7,IllusionAnimals_8,"A lone astronaut adrift in the stars, constellations forming a path",low quality,2.5,cat,Cat
8,IllusionAnimals_9,A serene meadow with colorful wildflowers,low quality,2.5,cat,Cat
9,IllusionAnimals_10,"Ancient cave entrance, stalactites glow, sunlight filters through dusty air",low quality,2.5,cat,cat
10,IllusionAnimals_11,A lone sailboat drifting peacefully on calm waters,low quality,2.5,cat,cat
11,IllusionAnimals_12,A vibrant music festival brimming with energy,low quality,2.5,cat,Cat
12,IllusionAnimals_13,Zebras galloping gracefully,low quality,2.5,cat,cat
13,IllusionAnimals_14,A spooky haunted house on a hill,low quality,2.5,cat,cat
14,IllusionAnimals_15,A starlit sky above a tranquil lake reflecting the moon,low quality,2.5,cat,cat
15,IllusionAnimals_16,Mesmerizing Milky Way galaxy twinkling brightly,low quality,2.5,cat,Cat
16,IllusionAnimals_17,A serene lake surrounded by lush green trees,low quality,2.5,cat,cat
17,IllusionAnimals_18,Lynx padding cautiously through coniferous woodland,low quality,2.5,cat,cat
18,IllusionAnimals_19,A bustling marketplace filled with colorful fruits and spices,low quality,2.5,cat,Cat
19,IllusionAnimals_20,Tranquil lake reflecting starry night sky,low quality,2.5,cat,cat
20,IllusionAnimals_21,A beach with palm trees and a sunset,low quality,2.5,cat,Cat
21,IllusionAnimals_22,A rustic barn surrounded by rolling fields of sunflowers,low quality,2.5,cat,cat
22,IllusionAnimals_23,A Fourth of July firework show lighting up skies,low quality,2.5,cat,cat
23,IllusionAnimals_24,A mystical cave illuminated by glowing crystals,low quality,2.5,cat,Cat
24,IllusionAnimals_25,An alien landscape with strange rock formations and glowing plants,low quality,2.5,cat,Cat
25,IllusionAnimals_26,A serene river winding through a peaceful valley,low quality,2.5,cat,Cat
26,IllusionAnimals_27,A peaceful meadow with wildflowers,low quality,2.5,cat,Cat
27,IllusionAnimals_28,A vast desert with a towering canyon in the distance,low quality,2.5,cat,cat
28,IllusionAnimals_29,A colorful sunset over a calm beautiful lake,low quality,2.5,cat,cat
29,IllusionAnimals_30,A dark forest with a hidden path,low quality,2.5,cat,cat
30,IllusionAnimals_31,"Gentle river winds through forest, sunlight filters through foliage, birds chirp merrily",low quality,2.5,cat,cat
