,image_name,Pprompt,Nprompt,illusion_strength,label,gpt-4o
2334,illusion_char_2334,"Gentle waves lap against sandy beach, distant storm glows clouds over mountains",low quality,1.5,dMs67,"""No illusion"""
302,illusion_char_302,A serene pond covered in lily pads and blooming lotus flowers,low quality,1.5,7UgDx,"""No illusion"""
1727,illusion_char_1727,A hidden cave entrance obscured by overgrown vines and moss,low quality,1.5,xaH1,"""No illusion"""
785,illusion_char_785,Abandoned factory overlooking rusty train tracks bathed in neon light,low quality,1.5,LrhIW,"""No illusion"""
2332,illusion_char_2332,A spaceship hovering over a futuristic city,low quality,1.5,YC9,"""No illusion"""
2342,illusion_char_2342,A grand ballroom filled with elegantly dressed dancers,low quality,1.5,0frBN,"""No illusion"""
1799,illusion_char_1799,A snow-covered mountain peak piercing the clouds in a rugged wilderness,low quality,1.5,ajQ,"""No illusion"""
2430,illusion_char_2430,"Eerie shadows shift through abandoned structures, sunlight peeking through dusty windows",low quality,1.5,lkFz,"""No illusion"""
65,illusion_char_65,A lush tropical rainforest echoing with the sounds of wildlife,low quality,1.5,vW3cS,"""No illusion"""
1607,illusion_char_1607,A sunny vineyard with rows of ripe grapes,low quality,1.5,WdeMf,"""No illusion"""
824,illusion_char_824,A serene lake surrounded by lush green forests,low quality,1.5,KCBL,"""No illusion"""
1389,illusion_char_1389,Quaint cobblestone alleyway in old European town,low quality,1.5,C39,"""No illusion"""
2352,illusion_char_2352,A haunted mansion shrouded in ghostly mist,low quality,1.5,V8Z,"""No illusion"""
781,illusion_char_781,A winter wonderland of sparkling snowflakes,low quality,1.5,U5Za,"""No illusion"""
2141,illusion_char_2141,Morning dew droplets hanging on spider web,low quality,1.5,dLKh,"""No illusion"""
2310,illusion_char_2310,"Sunbeams filter through leaves, river winds through canyon, mist hangs in the air",low quality,1.5,4l7RL,"""No illusion"""
1338,illusion_char_1338,"Neon glow reflects off metallic river, towering robots glide silently above",low quality,1.5,hby6,"""No illusion"""
195,illusion_char_195,A colorful sunset over a calm beautiful lake,low quality,1.5,6CjDO,"""No illusion"""
2693,illusion_char_2693,"River meets ocean, waves spray cliffs, sunset paints golden hues",low quality,1.5,TsL,"""No illusion"""
2835,illusion_char_2835,A grassy field with trees and a small lake,low quality,1.5,RZe8k,"""No illusion"""
2368,illusion_char_2368,Sunset over a calm tropical lake,low quality,1.5,dzpow,"""No illusion"""
205,illusion_char_205,A festive carnival with bright lights and merry-go-rounds,low quality,1.5,ljZ,"""No illusion"""
149,illusion_char_149,Charming thatched hut beside white sand beach,low quality,1.5,UBII,"""No illusion"""
2314,illusion_char_2314,Eerie hospital corridor with shattered glass and flickering lights,low quality,1.5,7pgL,"""No illusion"""
1498,illusion_char_1498,A quaint village with cobblestone streets,low quality,1.5,F3Xr,"""No illusion"""
1626,illusion_char_1626,"Eerie tree silhouette against crimson sunset, clouds cast shifting shadows",low quality,1.5,Devu,No illusion
1329,illusion_char_1329,A majestic sunset over a vast savanna,low quality,1.5,sVHt,"""No illusion"""
2462,illusion_char_2462,Monarch butterfly colony migrating to Mexico,low quality,1.5,Tr6,"""No illusion"""
2614,illusion_char_2614,"Space station orbits Earth, glowing city lights twinkle below clouds",low quality,1.5,xHsGE,"""No illusion"""
702,illusion_char_702,A tropical rainforest with cascading waterfalls,low quality,1.5,cE5,"""No illusion"""
646,illusion_char_646,Cascading waterfall veiled in rainbow,low quality,1.5,SoJp,"""No illusion"""
480,illusion_char_480,"A beach with umbrella, sun and ocean",low quality,1.5,XyJ,No illusion
2482,illusion_char_2482,"Golden light paints meadow grass, mountains rise imposingly, river reflects rainbow hues",low quality,1.5,ZTvw,"""No illusion"""
1414,illusion_char_1414,A sunrise in the savanna,low quality,1.5,rBF,"""No illusion"""
672,illusion_char_672,"Electrified waterfalls cascade, neon rivers reflect rainbow shades, luminous birds serenade",low quality,1.5,oDNMv,"""No illusion"""
127,illusion_char_127,Bobcat prowling expertly along creek bank,low quality,1.5,30Eg,"""No illusion"""
2961,illusion_char_2961,Gentle hummingbird hovering near sweet nectar,low quality,1.5,gGjom,"""No illusion"""
2198,illusion_char_2198,Tranquil lake reflecting starry night sky,low quality,1.5,HiyD,"""No illusion"""
2093,illusion_char_2093,Giraffes grazing peacefully,low quality,1.5,r5K,"""No illusion"""
1430,illusion_char_1430,"Vast, moonlit desert with faraway stars in the sky",low quality,1.5,LTC,"""No illusion"""
361,illusion_char_361,A creepy abandoned asylum with boarded up windows and rusted gates,low quality,1.5,1UEH,"""No illusion"""
1627,illusion_char_1627,"Vibrant coral reef teems with life, schools of fish dance through colorful formations",low quality,1.5,TNd,"""No illusion"""
2367,illusion_char_2367,A vibrant music festival brimming with energy,low quality,1.5,Zy22w,"""No illusion"""
1424,illusion_char_1424,A serene cabin nestled amidst snow-capped mountains,low quality,1.5,kqL,"""No illusion"""
