image_name,Pprompt,Nprompt,illusion_strength,label,raw_itc_answers,ill_itc_answers,ill_less_itc_answers,ill_filtered_itc_answers,ill_less_filtered_itc_answers
IllusionAnimals_1,A raging river flowing through a dense jungle at the base of mountains,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_2,A starry night sky over a tranquil lake,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_3,Jaguar (Panthera Onca) patrolling South American wetlands edge,low quality,2.5,cat,Cat,illusion Cat,illusion Cat,illusion Cat,illusion Cat
IllusionAnimals_4,"Flowing lava illuminates cavern walls, ancient hieroglyphs etched into rock",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_5,"Dense forest canopy, sunlight filters through, river winds through valleys",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_6,A whimsical carnival with colorful tents and a merry-go-round,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_7,"Gentle waves crash against sandy shores, moonlight reflects on sparkling water",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_8,"A lone astronaut adrift in the stars, constellations forming a path",low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Cat,no illusion
IllusionAnimals_9,A serene meadow with colorful wildflowers,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Dog,no illusion
IllusionAnimals_10,"Ancient cave entrance, stalactites glow, sunlight filters through dusty air",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_11,A lone sailboat drifting peacefully on calm waters,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_12,A vibrant music festival brimming with energy,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_13,Zebras galloping gracefully,low quality,2.5,cat,Cat,illusion Dog,illusion Butterfly,illusion Dog,illusion Cat
IllusionAnimals_14,A spooky haunted house on a hill,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_15,A starlit sky above a tranquil lake reflecting the moon,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Dog,no illusion
IllusionAnimals_16,Mesmerizing Milky Way galaxy twinkling brightly,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_17,A serene lake surrounded by lush green trees,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_18,Lynx padding cautiously through coniferous woodland,low quality,2.5,cat,Cat,illusion Dog,illusion Cat,illusion Snake,illusion Cat
IllusionAnimals_19,A bustling marketplace filled with colorful fruits and spices,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_20,Tranquil lake reflecting starry night sky,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Cat,no illusion
IllusionAnimals_21,A beach with palm trees and a sunset,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_22,A rustic barn surrounded by rolling fields of sunflowers,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_23,A Fourth of July firework show lighting up skies,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Dog,no illusion
IllusionAnimals_24,A mystical cave illuminated by glowing crystals,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_25,An alien landscape with strange rock formations and glowing plants,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_26,A serene river winding through a peaceful valley,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_27,A peaceful meadow with wildflowers,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_28,A vast desert with a towering canyon in the distance,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_29,A colorful sunset over a calm beautiful lake,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,illusion Butterfly
IllusionAnimals_30,A dark forest with a hidden path,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_31,"Gentle river winds through forest, sunlight filters through foliage, birds chirp merrily",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_32,Foggy graveyard with crooked tombstones under moonlight,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_33,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,Cat,illusion Cat,illusion Cat,illusion Cat,illusion Cat
IllusionAnimals_34,Fox darting through pristine snow,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_35,A Chinese New Year Lion Dance welcoming prosperity,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_36,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_37,Night sky filled with bright stars,low quality,2.5,cat,Cat,illusion Cat,no illusion,no illusion,no illusion
IllusionAnimals_38,"Electrified waterfalls cascade, neon rivers reflect rainbow shades, luminous birds serenade",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_39,A bustling harbor with fishing boats and seagulls circling overhead,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_40,"Abandoned spaceship adrift in a nebula, bathed in swirling light",low quality,2.5,cat,Cat,no illusion,illusion Fish,illusion Cat,illusion Fish
IllusionAnimals_41,A verdant jungle with towering mountains and a winding river,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_42,A majestic iceberg floating in a frigid arctic sea,low quality,2.5,cat,Cat,illusion Cat,illusion Pigeon,illusion Cat,illusion Pigeon
IllusionAnimals_43,"Vibrant coral reef teems with life, schools of fish dance through colorful formations",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_44,Male lion walking on a path in misty forest,low quality,2.5,cat,Cat,illusion Cat,illusion Pigeon,illusion Cat,illusion Rooster
IllusionAnimals_45,A rocky desert landscape with towering sand dunes and a blazing sun,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_46,"Golden light paints meadow grass, mountains rise imposingly, river reflects rainbow hues",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_47,A peaceful summer night countryside landscape with sunflowers,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_48,Cascading waterfall veiled in rainbow,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_49,"Serene meadow, wildflowers bloom, mountain range silhouettes the sky",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_50,A lonely house on the moonlit hill,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_51,Spectacular lightning bolt piercing darkened sky,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_52,A rustling bamboo forest with hidden secrets,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_53,Colorful tents dotting a music festival campground,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_54,A bustling marketplace with colorful stalls and people bartering,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_55,A suburban road at dusk with streetlights,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_56,Green sea turtle hatchlings scrambling towards ocean,low quality,2.5,cat,Cat,illusion Dog,illusion Butterfly,illusion Dog,illusion Snake
IllusionAnimals_57,Jaguar (Panthera Onca) patrolling South American wetlands edge,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_58,"Gentle waves meet volcanic cliffs, stars twinkle above",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_59,Clouds parting to reveal brilliant sunlight,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_60,A starry night sky with a rocket ship blasting off towards a distant planet,low quality,2.5,cat,Cat,no illusion,no illusion,no illusion,no illusion
IllusionAnimals_61,"Serene meadow, wildflowers bloom, mountain range silhouettes the sky",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Snake,no illusion
IllusionAnimals_62,A mystical floating island in a sea of clouds,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,illusion Fish
IllusionAnimals_63,A vibrant city with a sparkling river and towering skyscrapers,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_64,A sunset over a golden wheat field,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_65,A busy marketplace filled with colorful stalls,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_66,A spooky graveyard with ancient headstones and gnarled trees,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_67,A joyous birthday celebration with candles and cake,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_68,Clouds parting to reveal brilliant sunlight,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_69,"Soft moonlight shines on river's surface, reflecting off swaying willow branches",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_70,A green meadow with a stream in the distance,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_71,Colorful tents dotting a music festival campground,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_72,A dark forest with a glowing mushroom,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_73,Meteor streaking across starry night sky,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_74,A thrilling rodeo showcase featuring skilled cowboys,low quality,2.5,cat,Cat,illusion Cat,illusion Butterfly,illusion Cat,illusion Horse
IllusionAnimals_75,Aurora borealis dancing above Arctic Circle,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_76,"Sunbeams break through forest canopy, river flows calmly, birds flit between branches",low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_77,A green meadow with a stream in the distance,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_78,A cozy fireplace crackling in a rustic log cabin,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_79,A peaceful field with a wooden fence and blooming flowers,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_80,Gentle waves guide small boats through hidden mangrove forest,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_81,A lively carnival with bright tents and rides,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_82,Walrus haulout on icy coastline,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_83,A serene pagoda amid a peaceful Zen garden,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Dog,no illusion
IllusionAnimals_84,A dramatic thunderstorm with lightning striking in the distance,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_85,An ancient castle perched on a hilltop,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_86,"Gentle waves lap against sandy beach, distant storm glows clouds over mountains",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_87,A vast desert with a towering canyon in the distance,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Dog,no illusion
IllusionAnimals_88,Snowy owl perched on frozen tree branch,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Dog,no illusion
IllusionAnimals_89,A sunset over a vast desert with sand dunes and a lone camel,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_90,Giraffes grazing peacefully,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,illusion Cat
IllusionAnimals_91,A bustling harbor with fishing boats and seagulls circling overhead,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_92,Palm fringed beach paradise,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_93,Wallaby hopping energetically through Australian bushland,low quality,2.5,cat,Cat,illusion Dog,illusion Dog,illusion Cat,illusion Dog
IllusionAnimals_94,A hauntingly beautiful graveyard shrouded in fog,low quality,2.5,cat,Cat,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_95,A Ramadan Iftar meal breaking fast lovingly,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_96,A magical unicorn grazing in a lush meadow,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_97,"Neon city zoomed at night, palm trees reaching sky's edge",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_98,Starry night blanketed by snow,low quality,2.5,cat,Cat,illusion Cat,no illusion,no illusion,no illusion
IllusionAnimals_99,A peaceful meadow with a flowing river and mountains in the distance,low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_100,"A glowing river flows through a hidden canyon, sunlight reflecting off ancient walls",low quality,2.5,cat,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_101,"Flowing lava illuminates cavern walls, ancient hieroglyphs etched into rock",low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_102,A rustic barn surrounded by fields of golden wheat,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_103,A magnificent ice hotel made entirely of snow,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_104,A tranquil zen garden crafted from stones and plants,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_105,A person standing in a field of colorful flowers,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_106,A serene lakeside with a wooden dock and lush green trees,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_107,A charming European town square bathed in warm light,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_108,A woman in a field of flowers at sunrise,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_109,A sunrise in the savanna,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_110,A vibrant sunset over a tranquil lake,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_111,A dark forest with an old man sitting by a lake,low quality,2.5,dog,Cat,illusion Cat,no illusion,illusion Cat,no illusion
IllusionAnimals_112,"A beach with umbrella, sun and ocean",low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_113,A woman playing the guitar by the campfire,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_114,A magnificent ice hotel made entirely of snow,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_115,"Silent valley bathed in golden sunlight, river meanders below",low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_116,A distant futuristic city with floating buildings,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_117,A vast green meadowland with a cottage in the distance,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_118,"A beach with waves, sand, and palm trees",low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_119,Tranquil lake with a small wooden pier and mountains in the background,low quality,2.5,dog,Dog,illusion Cat,no illusion,illusion Dog,no illusion
IllusionAnimals_120,A lush green forest with sunlight shining through the canopy,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_121,A group of explorers in an ancient jungle,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_122,A spooky haunted house on a hill,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_123,Wallaby hopping energetically through Australian bushland,low quality,2.5,dog,Dog,illusion Dog,illusion Dog,illusion Dog,illusion Dog
IllusionAnimals_124,"A vibrant sunset paints the desert landscape, casting long shadows over the towering dunes",low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_125,A Thanksgiving feast giving thanks and love,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_126,Verdant valley cradled by hills,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_127,A castle on a hill overlooking a village,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_128,A meadow filled with wildflowers and butterflies fluttering,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_129,Caracal leaping fluidly over rocky terrain,low quality,2.5,dog,Dog,illusion Dog,illusion Deer,illusion Dog,illusion Horse
IllusionAnimals_130,A man holding a dog on a winter night,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_131,A majestic snow-capped mountain towering above a glacier,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_132,Magnolia tree in full bloom,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_133,"Desolate desert landscape, shifting sands illuminated by distant stars",low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_134,Modern city apartment with large windows over looking city skyline,low quality,2.5,dog,Dog,illusion Cat,no illusion,illusion Dog,no illusion
IllusionAnimals_135,Cherry Blossoms fluttering softly,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_136,Vibrant sunset over tranquil beach,low quality,2.5,dog,Dog,illusion Elephant,no illusion,illusion Elephant,no illusion
IllusionAnimals_137,Vintage carnival with Ferris wheel against twilight sky,low quality,2.5,dog,Dog,illusion Elephant,no illusion,illusion Horse,no illusion
IllusionAnimals_138,Gentle hummingbird hovering near sweet nectar,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_139,Forest of colossal mushrooms bathing the earth in bioluminescence,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_140,Cherry Blossoms fluttering softly,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_141,A mysterious cave entrance hidden behind a waterfall,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_142,A Halloween costume party embracing creativity,low quality,2.5,dog,Dog,illusion Dog,illusion Elephant,illusion Dog,illusion Horse
IllusionAnimals_143,"Silent mountains embrace turquoise lake, sunlight paints ripples",low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_144,A mystical forest filled with ancient trees and glowing mushrooms,low quality,2.5,dog,Dog,illusion Pigeon,no illusion,illusion Dog,no illusion
IllusionAnimals_145,"Neon rays illuminate a futuristic city, reflecting off robots and sleek structures",low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_146,A crowded concert filled with cheering fans and flashing lights,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_147,"Ancient temple ruins under a desert sunset, dunes reflected in the shadows",low quality,2.5,dog,Dog,illusion Cat,no illusion,illusion Dog,no illusion
IllusionAnimals_148,A golden sun setting over the vast ocean,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_149,Peaceful sunset over tranquil lake,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_150,A vast desert with a towering canyon in the distance,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_151,"A field of tulips in full bloom, swaying in the breeze",low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_152,A Navratri Garba Night dancing devotionally,low quality,2.5,dog,Dog,illusion Dog,no illusion,illusion Dog,no illusion
IllusionAnimals_153,A picturesque vineyard with rows of grapevines stretching out,low quality,2.5,dog,Cat,illusion Dog,no illusion,illusion Dog,no illusion
